learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,0.763418202,4.790009233279775E-8,10000.0,0.0,46.31999999999999,0.09396216732754196,27.98276967566616,0.1309513801828298,30.601163542340014,0.12147662227219286,23.006310958118185,0.13477075061322663
20000.0,1.611575542,1.0260034902872726E-7,20000.0,0.0,47.019,0.07092170957393054,29.020016079414763,0.09464421547627974,31.918529940889233,0.09113558156506049,24.128598023772017,0.10156338189020492
30000.0,2.424502548,1.5479968228950683E-7,30000.0,0.0,51.11899999999999,0.10170163333114281,35.77407556519811,0.1341801329360415,36.78091050181066,0.13153341093008697,31.20197044334975,0.14314093361174207
40000.0,3.240115142,2.069267019269036E-7,40000.0,0.0,47.85600000000001,1.4659037409658857,31.586091665941343,1.9799164799810025,33.2172131147541,1.8774381928354067,25.177213373511265,2.1034635399137405
50000.0,4.055638517,2.5871045707613035E-7,50000.0,0.0,50.109,2.2208949397333795,34.93893870068692,2.994259077716707,34.83411703239289,2.9008554594218645,28.614966375733296,3.1777005862546566
60000.0,4.877986965,3.1205427012638724E-7,60000.0,0.0,47.573,2.739582307984599,31.76915998716965,3.581714820330416,32.55242506110896,3.5244851511444715,25.423897581792318,3.896987635824464
70000.0,5.741492694,3.684503022719508E-7,70000.0,0.0,41.737,2.6552480737839415,22.918009400550766,3.466929625973772,24.734530422426044,3.430109900250538,15.352317303501383,3.857690067970277
80000.0,6.598803144,4.2271000581095233E-7,80000.0,0.0,42.405,3.5285336110691143,24.280564290730787,4.697695148276546,24.515072083879424,4.624552570208538,17.556541654738048,5.050864029586479
90000.0,7.432576362,4.77283256522885E-7,90000.0,0.0,43.239000000000004,2.636228556100552,26.245109834368705,3.554521909647923,26.788339997420355,3.4002690005166416,18.77361190612478,3.772507950916646
100000.0,8.244206465,5.305952986487249E-7,100000.0,0.0,47.262,2.4690942108842706,31.829487055071066,3.272012973340276,31.73958063681077,3.1958247616933355,24.842525295710416,3.5187319522363834
