learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,1.201030586,2.9430211704307135E-8,10000.0,0.0,46.64,0.13130964253329738,28.438315539538895,0.17920082889835637,31.01486748545572,0.1697603652660596,23.46528973034997,0.1883385578503975
20000.0,2.738196979,1.3912559494225722E-7,20000.0,0.0,52.505,0.16276260831857728,36.97867655748219,0.2377655978251098,38.968131585710616,0.20915267067409046,31.984820277817555,0.23308407320432145
30000.0,4.92149606,3.4423244583115196E-7,30000.0,0.0,55.79899999999999,0.5804872474434244,42.86932391701175,0.7696332288373988,42.83367822038283,0.7507595026428162,37.78888106966925,0.8170123116726612
40000.0,7.043614453,5.443340054061225E-7,40000.0,0.0,56.283,1.6112948899013555,43.12523871679055,2.107864225151266,44.00998975409837,2.0636461192384172,37.26933562921509,2.312089094420082
50000.0,9.138260578,7.07498183217827E-7,50000.0,0.0,62.516,1.3436461174315535,51.23281900582325,1.7711406914524679,51.03970741901776,1.7550236643567834,46.36714837601946,1.9225155493368913
60000.0,11.236512132,8.530388611235514E-7,60000.0,0.0,52.730999999999995,0.9863732108644835,38.719151009209384,1.2726410018664192,39.188215618165444,1.2689736406335823,32.76102418207681,1.4030913383563068
70000.0,12.930568657,9.562914174253083E-7,70000.0,0.0,47.728,2.2377542313667957,31.156454316332354,3.0690239482549857,32.47384058907118,2.8907818516558526,24.05637076856022,3.251132110078157
80000.0,14.864080438,1.1464797970263002E-6,80000.0,0.0,56.995,2.1524622851257784,43.83928220373362,2.905665053765225,43.63695937090433,2.8210514877139943,38.44116805038649,3.081108338284825
90000.0,17.209755559,1.3968618148686824E-6,90000.0,0.0,56.446000000000005,1.9802296163155755,43.59081952483293,2.563975311520665,43.82303624403457,2.554146287005773,37.67315397824842,2.83375732157352
100000.0,19.356443421,1.5682560560978703E-6,100000.0,0.0,57.609,1.660785925063459,45.23126425489468,2.161585543838628,45.13202174475797,2.1496064264347132,39.58814308108879,2.366803370476641
