learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,1.961680155,5.177596173500642E-8,10000.0,0.0,34.376999999999995,0.7625149178868564,14.770632917062835,1.2327457673769,15.160956690368455,0.9857982131698215,5.876362593230061,1.0936817525629041
20000.0,3.554324789,8.947728479158343E-8,20000.0,0.0,37.29600000000001,0.9020645456088182,17.71537993887725,1.1945913846249787,19.42431251606271,1.1591680102914654,10.204783044536732,1.2918008672616617
30000.0,5.249517975,1.4067860464439416E-7,30000.0,0.0,35.615,1.217211978251939,16.32325120381305,1.6248398403020101,16.729177444386963,1.5742524291928859,9.380717804363126,1.7131766055621946
40000.0,6.894838238,1.841046640668685E-7,40000.0,0.0,42.526999999999994,1.1862958690347405,24.706536863475424,1.4494150275834883,26.3921618852459,1.5193338486612964,17.530492179652743,1.7022469063491747
50000.0,8.567106857,2.3188289523171256E-7,50000.0,0.0,41.734,0.9099416342698999,23.8670051495037,1.2942324073177705,23.894984326018808,1.1885340050547288,16.631850050078697,1.3019625615537276
60000.0,10.338173528,2.7766386257487654E-7,60000.0,0.0,43.758,1.30612982169121,26.46707630265561,1.6617973996596072,27.64441013765599,1.6803419808197728,19.997155049786628,1.8579371574554893
70000.0,11.909918764,3.15725962783419E-7,70000.0,0.0,35.836999999999996,1.0125490934599988,15.890014672745513,1.2103989993906028,17.11277612711536,1.3080339664901175,6.780473630684298,1.4710868712189444
80000.0,13.534299463,3.6125183198457983E-7,80000.0,0.0,35.87100000000001,1.3856835056309855,16.48174667104104,1.7569063150730204,15.951507208387945,1.8160989588872682,8.203549957056973,1.983514894977076
90000.0,15.176976852,4.046081362317543E-7,90000.0,0.0,40.260000000000005,1.396717580615351,21.98663961184941,1.7407502948341964,22.945956403972655,1.8015188709084882,14.51058958214081,1.998737236141029
100000.0,16.779550432,4.503951169201193E-7,100000.0,0.0,37.751999999999995,1.275683520487917,18.868170982551106,1.6541528914091694,19.43049443437743,1.651156511115605,11.28972495368391,1.8179899109133768
