learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,6.578689589,9.144031190152797E-7,10000.0,0.0,40.711,0.30429317004056033,21.273418222665757,0.4259518937404088,23.349709114415,0.3933977634654952,14.96127366609294,0.43645032994916844
20000.0,26.571353871,9.370193020889243E-6,20000.0,0.0,50.439,0.16596820311265786,34.98521962687365,0.22956410019637463,36.31328707273195,0.21327191353464148,29.026206501503648,0.2376746428650407
30000.0,59.554917823,3.904001146050799E-5,30000.0,0.0,51.075,0.10724064320748695,35.89093361185119,0.1408565461622494,36.724004138644595,0.13869715883016853,31.14004222378607,0.15093686587964295
40000.0,105.398115161,1.1117146062716828E-4,40000.0,0.0,56.375,0.10453335459183441,43.145863372479496,0.13471689703164402,44.12781762295082,0.1338798086473284,37.401348830535234,0.1499976389608759
50000.0,156.138897666,2.3489196393678717E-4,50000.0,0.0,58.314,0.08342927810094244,45.795466695960855,0.1120468234274522,45.55120167189132,0.10897241131262105,40.35484332522535,0.11937226799390792
60000.0,224.945921983,4.7596100261532035E-4,60000.0,0.0,56.67,0.07348469228349508,43.71473314480274,0.10112493832665741,44.25575710793774,0.09453839223400887,38.364153627311524,0.10453014549572519
70000.0,306.161803782,8.605626796165961E-4,70000.0,0.0,45.649,0.24961503694021864,28.108915293065536,0.33752294987069614,29.7881410670456,0.3224583864361437,21.03588551503705,0.36265441949763016
80000.0,400.982648956,0.0014493311438357071,80000.0,0.0,53.768,0.10949175514368319,39.51709095830983,0.13961334989859006,39.40760157273919,0.1435016450113807,33.821929573432584,0.1567302535695439
90000.0,508.396387494,0.002292579455880828,90000.0,0.0,51.477,0.10796141285971916,37.045888350593614,0.13567289131287427,37.41390429511157,0.13925114518214818,30.562392673153973,0.1544954391238109
100000.0,629.904875092,0.0034646575859573862,100000.0,0.0,57.06100000000001,0.14530007264661288,44.37991887216694,0.1833313101449189,44.42272844939166,0.18806636376729544,38.807182556648144,0.20706865134190225
