learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,3.986144272,5.327686607129044E-7,10000.0,0.0,76.27999999999999,0.06269857343760682,50.48152232414461,0.13265774164577382,51.57207023274806,0.12800852069744229,44.68283582089551,0.14621868805412144
20000.0,14.273792267,4.828942338453523E-6,20000.0,0.0,79.63999999999999,0.03109126351029587,58.264834526947055,0.06322806509120464,57.69790151672554,0.06459851134489047,52.673175267317525,0.07227164925684795
30000.0,29.837398754,1.874582351141936E-5,30000.0,0.0,80.107,0.03681937895547226,59.365153802307816,0.0758260407979807,59.53417412530512,0.07489702798102425,54.2163406214039,0.08473965237162584
40000.0,50.224171494,5.071429866455759E-5,40000.0,0.0,80.034,0.0485386443980475,59.05612057559457,0.09845418447755785,58.85843807953843,0.1000178124830952,53.153449084936646,0.11388701172699592
50000.0,75.672209887,1.1262799429232945E-4,50000.0,0.0,80.04499999999999,0.037364570265307685,59.23703688687662,0.07325391855487466,59.10860655737705,0.0765667423469414,53.89325323475046,0.08633218638010053
60000.0,106.624264585,2.2090487932609147E-4,60000.0,0.0,79.567,0.03461053147365502,58.30399131776209,0.07085037913779403,59.01925391095067,0.06941542614050374,53.18900343642612,0.07929102284915159
70000.0,142.043804366,3.8844667161505694E-4,70000.0,0.0,79.57199999999999,0.04152107898405394,58.160843821729266,0.08898077677605941,59.0292819895708,0.08327532888899589,52.625231910946205,0.09629192714298246
80000.0,182.8668058,6.417098330677839E-4,80000.0,0.0,79.69900000000001,0.04091861841916543,58.43256355929934,0.08587934117930345,59.89529830106677,0.08083488427334229,52.90883785664579,0.09491676738382228
90000.0,229.526668358,0.0010077625314259678,90000.0,0.0,80.089,0.05498383600861273,59.439035816956334,0.11223405281291328,59.14016006566796,0.11283364664193285,54.44749485243653,0.1257923495964624
100000.0,281.159108002,0.0015055364329797222,100000.0,0.0,80.26599999999999,0.033638602164113,59.51240919139462,0.06621164074697726,59.54489544895449,0.06895982403467495,54.01072011186204,0.07839338653953376
