learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
20000.0,4.614069459,3.9137824702824786E-6,20000.0,0.0,95.29550000000002,0.008414603707577276,90.59100000000001,0.016829207415153848,90.59852118305356,0.016815754811304907,90.3328881126066,0.01729087374412058
40000.0,11.511918794,9.143389602635388E-6,40000.0,0.0,97.01849999999999,0.01490805151587579,94.037,0.0298161030317506,93.9919395465995,0.030041413634007717,93.92893504377926,0.030356447802637524
60000.0,18.096163836,1.665765195983472E-5,60000.0,0.0,95.1145,0.01630354426361417,90.229,0.032607088527223785,90.14622831787011,0.032883308317087336,90.06810327302298,0.03314402167841594
80000.0,25.332853458,2.2922270940823083E-5,80000.0,0.0,95.1495,0.020715667715253877,90.299,0.04143133543051093,90.32029535022949,0.04134038658003566,90.1262086513995,0.0421692981481015
100000.0,32.225580525,2.858794850114919E-5,100000.0,0.0,93.60700000000001,0.026814175355584446,87.214,0.05362835071116743,87.06132361870065,0.054268721626356604,86.83484349258649,0.05521864776685144
120000.0,39.019973524,3.4294361036124086E-5,120000.0,0.0,92.005,0.016699966733166288,84.01,0.033399933466333444,83.97153167602245,0.033480286153101536,83.52904820766378,0.03440454621583527
140000.0,45.889252489,3.9518372401371855E-5,140000.0,0.0,85.3945,0.026827121434183414,70.789,0.05365424286836793,70.6097192876547,0.05398354247748189,70.25962125839952,0.054626596282190604
160000.0,52.868082674,4.46490242711549E-5,160000.0,0.0,84.5735,0.03248974197086403,69.147,0.06497948394172925,69.07587451137617,0.06512928128869201,68.21244590974655,0.06694774772483819
180000.0,59.21722456,5.1039875571346434E-5,180000.0,0.0,96.675,0.015383974345618574,93.35,0.030767948691238403,93.33667334669339,0.030829607907051575,93.23774659345128,0.03128731817290943
200000.0,66.134406848,5.5536223242471965E-5,200000.0,0.0,93.71950000000001,0.016938614661969234,87.439,0.03387722932393628,87.45906549520767,0.03382311234418579,87.11427985227738,0.034753005051229295
