learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
20000.0,0.375269538,7.633790971922378E-9,20000.0,0.0,96.8805,0.005079916884707909,93.761,0.01015983376941749,93.76598721023183,0.01015171239949924,93.5898489674304,0.010438542863883378
40000.0,0.745621084,1.5609032836912414E-8,40000.0,0.0,97.092,0.015762120556716264,94.184,0.031524241113433604,94.14005037783376,0.031762459560133134,94.07859906332723,0.032095541756700686
60000.0,1.122996845,2.372694467704745E-8,60000.0,0.0,94.8815,0.12463736286612455,89.763,0.2492747257322504,89.67628075837031,0.2513863712507565,89.59442976214677,0.2533794731980588
80000.0,1.498700141,3.153828924021375E-8,80000.0,0.0,94.30949999999999,0.10443086495646552,88.619,0.20886172991293156,88.64398323687887,0.20840324277881708,88.41628498727735,0.21258191339738508
100000.0,1.894324139,3.990054748984677E-8,100000.0,0.0,92.4765,0.2998314804463778,84.953,0.5996629608927543,84.77332523780612,0.6068234779323578,84.50679571663922,0.6174453880691468
120000.0,2.277178507,4.813631228512364E-8,120000.0,0.0,91.3195,0.2804177934598462,82.63900000000001,0.5608355869196927,82.59723336006415,0.5621848305129233,82.11681087762672,0.5777045600738493
140000.0,2.655095511,5.6237710053266796E-8,140000.0,0.0,84.4975,0.1669518393629327,68.995,0.33390367872586524,68.80470872321159,0.33595299197692396,68.4331093463653,0.3399548755099423
160000.0,3.025751283,6.411747739249638E-8,160000.0,0.0,81.255,0.645113254484134,62.510000000000005,1.2902265089682683,62.42357422070763,1.2932008709715026,61.37440758293839,1.3293081691410136
180000.0,3.38981685,7.185714362973144E-8,180000.0,0.0,95.0265,0.17869286188566297,90.053,0.3573857237713257,90.03306613226452,0.35810192762657894,89.88509253609925,0.36341847037962705
200000.0,3.761366289,7.9877405240217E-8,200000.0,0.0,89.03999999999999,0.5732940878040783,78.07999999999998,1.1465881756081588,78.1150159744409,1.1447565651039926,77.51333606893722,1.1762291501930227
