learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
47000.0,4.798726327,4.544641340845161E-7,47000.0,0.0,52.422553191489364,0.13253655090991417,27.061055916621658,0.19029627193670492,-187.71744724652604,0.8014948395221249,-9.28791359171106,0.3044434725949838
94000.0,8.312215311,8.000366538745162E-7,94000.0,0.0,54.3595744680851,0.07857439094724573,4.80302174983691,0.12925969378401392,-1430.0285306704736,2.6340915652785557,-80.42728572630163,0.31062296025910996
141000.0,11.917628528,1.141487881559994E-6,141000.0,0.0,60.32042553191489,0.08445745507187219,11.2507058068445,0.07653450838805587,-1101.6365979381428,2.5576677760167574,-101.72417522985393,0.4293672675368333
188000.0,15.579232747,1.467799878946601E-6,188000.0,0.0,53.37510638297872,0.08870866304964502,8.58924342721494,0.17756803103264257,-1103.3882482152653,2.289570106168743,-13.548370381885075,0.21603747154429195
235000.0,20.105725492,2.1497568313119643E-6,235000.0,0.0,54.130425531914895,0.06088069010486472,18.06246331492334,0.1200271741683273,-1058.4470714669544,1.537556386313069,26.445922893210508,0.09762512572257331
282000.0,25.083321476,2.898059193926538E-6,282000.0,0.0,42.961063829787236,0.10876299862418676,26.34929747098054,0.125896771502649,-975.7744783306591,2.05130856153163,6.682330827067667,0.17794002141940923
329000.0,29.733190701,3.3384257926750375E-6,329000.0,0.0,49.36148936170213,0.0683457260750277,26.425879306696146,0.09834226121895573,-1087.6297405189625,1.6029187253125385,16.52016836197826,0.1126709619616383
376000.0,34.474237368,3.9920095943139315E-6,376000.0,0.0,50.51234042553191,0.139388245717179,25.688104727413773,0.247591348977677,-1014.4801149976042,3.139074053046184,8.855362670951063,0.2567203867199888
423000.0,39.069254074,4.440190882672932E-6,423000.0,0.0,46.541063829787234,0.10443948128579059,2.7989027962609896,0.23034519883777876,-1240.0373333333337,2.6179496642304745,8.786393668772236,0.178198490540628
470000.0,43.210025248,4.81729476508152E-6,470000.0,0.0,58.986382978723405,0.07138867726951972,3.87360131710879,0.17303556283378022,-1120.0253164556973,2.123587235232553,-8.61167455487941,0.18905047507704703
