learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
47000.0,59.354645658,3.290902734584734E-5,47000.0,0.0,59.312553191489364,0.08721757902649492,35.267955272109795,0.11671824931940467,-146.05120946989197,0.5274351793933643,6.538781095743116,0.20034339544720436
94000.0,99.208148489,7.27712879474217E-5,94000.0,0.0,80.14553191489361,0.07864554324793531,48.83205074679909,0.10779378332590804,-565.5920114122694,2.63647684212054,21.51064008747581,0.31090424195920496
141000.0,145.499895807,1.397049578138932E-4,141000.0,0.0,83.00936170212765,0.05735409732754452,48.082326200938965,0.08965790991206894,-414.5360824742262,1.7368831020583722,13.622498647917812,0.2915784288149917
188000.0,191.800593391,2.2792933003735344E-4,188000.0,0.0,73.5272340425532,0.042399011465255224,46.649829402451495,0.08585424178300503,-583.2619439868199,1.0943182530845195,35.52930203637494,0.10325682879252486
235000.0,264.447698578,2.3746157484892438E-4,235000.0,0.0,77.88872340425533,0.027357966427458625,62.118197065007095,0.045832878487048534,-458.4255776464271,0.6909319839282835,64.54350051177074,0.04386981992802908
282000.0,361.769454287,2.942573273006254E-4,282000.0,0.0,58.10978723404256,0.03897380914028649,43.81103417419874,0.049763850109544046,-690.0642054574647,0.7350598032076396,31.466165413533837,0.06376249754920109
329000.0,446.100474788,3.7936260286348125E-4,329000.0,0.0,69.49829787234042,0.03456280945459294,56.412656466152384,0.04977621519027595,-615.3592814371259,0.8106048125578278,49.71659066994037,0.05697832495145131
376000.0,531.152478826,5.05485640908027E-4,376000.0,0.0,58.1168085106383,0.024386130607947417,35.13223075493545,0.041073449483576045,-843.2247244849066,0.549184541721872,22.861005525294882,0.044913520850093695
423000.0,612.892156572,6.621546552637083E-4,423000.0,0.0,76.05808510638299,0.020943131518685484,61.39392600489562,0.034445035042273635,-500.1440000000002,0.524974496735038,59.14942278370726,0.03573394254622113
470000.0,676.618499815,6.704464792594993E-4,470000.0,0.0,76.66319148936171,0.03739149417754137,51.5505656574995,0.08141432777178478,-594.196202531646,1.11227862426864,38.19979716024342,0.09901962059637558
