learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
600.0,0.001557827,1.8893153758512605E-11,600.0,0.0,33.83333333333333,0.0,0.0,0.0,-12.464589235127482,0.0,-5.305039787798407,0.0
1200.0,0.003926534,2.956764222847091E-10,1200.0,0.0,32.5,0.0,0.0,0.0,-9.75609756097561,0.0,-3.580562659846545,0.0
1800.0,0.022075448,3.4316523482816098E-9,1800.0,0.0,69.14999999999999,0.10957268290731187,53.985545936529824,0.16613035943521348,48.583333333333336,0.1826211381788509,53.724999999999994,0.164359024360965
2400.0,0.051849797,1.0182866970987786E-8,2400.0,0.0,89.36666666666667,0.20608041101101535,84.08951651705458,0.30897888228642484,82.71002710027099,0.3350900992049009,83.8888888888889,0.3122430469863854
3000.0,0.094154777,2.204827024568286E-8,3000.0,0.0,65.98333333333332,0.10671873729054868,54.741571236376,0.14174886441776233,47.12435233160621,0.16588404760188952,54.13483146067416,0.14389043230186138
3600.0,0.150326675,4.091391767640079E-8,3600.0,0.0,56.95,0.10258991840344069,42.72508744589727,0.13573335972144093,29.999999999999996,0.16681287545275023,41.955056179775276,0.13832348548778578
4200.0,0.251893029,4.795359294911223E-8,4200.0,0.0,42.983333333333334,0.17114357556388124,22.353750619110503,0.16384592423673427,5.235457063711914,0.28444915606185334,4.173669467787111,0.287636261451902
4800.0,0.343391203,5.943480165439346E-8,4800.0,0.0,35.31666666666668,0.0803157349711165,7.159735206823685,0.14911497761501136,-7.209944751381215,0.13312000271455793,0.9948979591836719,0.12293224740477035
5400.0,0.436381735,7.637265505306422E-8,5400.0,0.0,26.299999999999997,0.3208784239598589,-8.843587361831652,0.4741860670410158,-21.483516483516475,0.5289204790547121,-11.385390428211586,0.4849547969166632
6000.0,0.537345152,1.005779403333448E-7,6000.0,0.0,23.866666666666667,0.42368168810972484,-14.244641832997347,0.6457677674289815,-24.468664850136232,0.6926676099886506,-17.128205128205128,0.6518179817072689
