learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,36.579740963,7.249882592829621E-5,50000.0,0.0,78.3262,0.050968792194614955,14.771803400327215,0.2395695680465632,-16572.15384615426,39.20676322662787,9.947648329732427,0.21176995261182752
100000.0,66.966318927,1.2501087998962248E-4,100000.0,0.0,41.6854,0.389173032067857,5.863533351606938,0.4782923525628335,-37281.1538461537,249.46989235118934,13.29199750200732,0.578661539934958
150000.0,95.98162933,2.455797767930963E-4,150000.0,0.0,35.761199999999995,0.43662505654165085,4.330628422220128,0.48309846104000914,-14368.1981981982,98.33897669856984,-114.30077395249529,1.4565821208355056
200000.0,105.812866645,2.7056332958055635E-4,200000.0,0.0,2.4406,0.2760280259522773,0.0,0.0,?,?,?,?
250000.0,113.047309431,2.889477991484024E-4,250000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
300000.0,120.42955699,3.077078764073424E-4,300000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
350000.0,136.602646838,3.5808997666962594E-4,350000.0,0.0,13.317799999999998,0.11802728498105837,0.3251559394191409,0.046764224352107614,-67620.46875000276,92.20881639145522,-635.4675038180895,1.0014193533095095
400000.0,155.62862347,4.0123002753858446E-4,400000.0,0.0,10.236,0.13489024344917522,-0.2931127271428996,0.12433058450208932,-320485.71428577503,481.7508694614317,-3357.7812018490004,5.196080256131646
450000.0,165.118990209,4.2263179610917774E-4,450000.0,0.0,0.43,0.0,0.0,0.0,-4978399.999995021,0.0,-23055.813953488534,0.0
494021.0,199.442461429,5.459267991306758E-4,494021.0,0.0,39.8462,0.3717079438962194,1.9950182810984343,0.5960863925773995,-66737.55555555467,413.0088265513502,-59.457639698865435,0.9853354466552333
