learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,3.414355777,2.452595786669933E-7,50000.0,0.0,92.347,0.007088331569872031,76.6380987407116,0.018823147740815567,-5786.923076923222,5.452562746055659,68.20259265414659,0.029451269610569056
100000.0,6.042263876,4.04478505887797E-7,100000.0,0.0,90.349,0.04680574513644375,80.28209981276748,0.09254494605955327,-6086.538461538439,30.003682779771754,85.64992416807922,0.06959548151254012
150000.0,8.292112378,5.198616033335134E-7,150000.0,0.0,88.2782,0.23212380796079946,74.40722869363562,0.5540759584472705,-2540.0450450450453,52.28013692810804,60.89605017347212,0.7743655189511597
200000.0,10.418316785,6.696909865568165E-7,200000.0,0.0,98.04780000000001,4.6666666666525693E-4,0.0,0.0,?,?,?,?
250000.0,12.508679585,8.16994683231422E-7,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,14.578575005,9.62856084465617E-7,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,16.7748578,1.0855602221018108E-6,350000.0,0.0,97.67840000000001,0.021482395893693166,89.65081935400916,0.10519695203318605,-1713.7500000000748,16.78312179194779,80.30205328355676,0.18227045557179997
400000.0,19.038821893,1.227179853731093E-6,400000.0,0.0,91.4204,0.01535881939907341,34.73753835121539,0.0701338428726842,-30541.42857143438,54.85292642526942,-230.49306625577836,0.5916340292400879
450000.0,21.767237336,1.3978526975116162E-6,450000.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
494021.0,23.774300067,1.5007845680196866E-6,494021.0,0.0,92.1818,0.03427269726440803,83.88982175966001,0.07310729741757643,-8586.888888888774,38.080774738230474,79.27526243240376,0.09085117501963476
