learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,3.33302826,2.795781430639326E-7,50000.0,0.0,92.41480000000001,0.012582880786564749,76.78431571102736,0.03378592231454105,-5734.769230769375,9.679139066588123,68.48429449891974,0.05228054174241446
100000.0,5.963886936,4.831552721037714E-7,100000.0,0.0,90.0272,0.008306356334493063,79.62160174952193,0.017725216955561483,-6292.82051282049,5.324587393905079,85.17143961697445,0.0123507246178546
150000.0,8.342268751,6.276792927023833E-7,150000.0,0.0,88.69619999999999,0.021996868463994422,75.51775644540061,0.053683675605618944,-2445.900900900902,4.954249654052666,62.290499065919406,0.07338160016010682
200000.0,10.170872565,7.31605142812831E-7,200000.0,0.0,98.0264,0.0048515747729763106,0.0,0.0,?,?,?,?
250000.0,11.741497756,8.208691796314474E-7,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,13.313677701,9.102215784724584E-7,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,15.087568178,1.012477012799867E-6,350000.0,0.0,97.72420000000001,0.004146752410690346,89.87835536285341,0.01988507664866768,-1677.9687500000698,3.2396503208513217,80.69064992363825,0.035183712970383994
400000.0,17.110798633,1.1326605910150127E-6,400000.0,0.0,91.22399999999999,0.0028751811537139453,34.074294602683665,0.02088706597929025,-31242.857142863082,10.268504120407645,-238.0585516178739,0.11075428173010608
450000.0,18.870833226,1.2372098551121563E-6,450000.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
494021.0,21.105436398,1.3844756900653693E-6,494021.0,0.0,92.282,0.009218339209304073,84.10704898304799,0.019607860265413744,-8475.55555555544,10.242599121448395,79.54087583501222,0.024436271894029842
