learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,6.453370773,1.089563664236348E-6,50000.0,0.0,92.21960000000001,0.1071044350155495,76.36310317775273,0.31844136854845234,-5884.923076923225,82.38802693504012,67.67325909921887,0.4450076242959504
100000.0,12.409371037,2.3225537039705755E-6,100000.0,0.0,93.121,0.6280735448797201,85.73565619414727,1.259565622871761,-4309.615384615369,402.61124671776764,89.7716120974217,0.9338828097655452
150000.0,18.593052919,3.479409334603873E-6,150000.0,0.0,88.79920000000001,0.5932883278811403,74.97413527310039,1.306051538554447,-2422.7027027027025,133.6234972705273,62.63410728582868,1.979211128506608
200000.0,21.442283622,4.0641108652116385E-6,200000.0,0.0,98.0254,0.007877111709814687,0.0,0.0,?,?,?,?
250000.0,23.916135581,4.575327577404561E-6,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,26.420974308,5.09294764514219E-6,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,29.853471936,5.975722961448988E-6,350000.0,0.0,96.638,0.2834028150099355,83.72437874955065,1.478386894935283,-2526.5625000001087,221.40844922652096,71.47463091803832,2.4045716528927157
400000.0,33.81370664,6.987772206404203E-6,400000.0,0.0,94.8414,0.5033283929117378,46.68233601866428,3.445581978992872,-18323.571428574924,1797.601403256543,-98.71340523882913,19.38861297811006
450000.0,36.238760209,7.625740244750195E-6,450000.0,0.0,99.90480000000001,0.056701322735894635,78.87091762470722,13.186408766540785,-4659.999999995281,2835.066136791848,77.86046511627872,13.186354124626526
494021.0,42.385702837,9.429493232728929E-6,494021.0,0.0,91.919,0.3675903819319659,83.276698194942,0.7956282162825411,-8878.88888888877,408.43375770217966,78.57862368783799,0.97442048015048
