learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,17.459301541,1.4128343310892165E-6,50000.0,0.0,76.4324,0.055601598698038886,3.1200363480542395,0.3466804387288369,-18028.923076923522,42.77046053695421,2.079109190626562,0.23101877471347496
100000.0,36.70502912,2.9702290863460958E-6,100000.0,0.0,36.345400000000005,0.004917542294909003,-0.3935300090583509,0.009850533877915846,-40704.23076923061,3.152270701864737,5.351949326434118,0.007311895641760195
150000.0,54.572344649,3.957179871824487E-6,150000.0,0.0,30.004600000000003,0.08594884783663156,-0.41332417211273864,0.07518172372560032,-15664.729729729732,19.357848611854262,-133.50480384307443,0.28672553988734745
200000.0,64.676715947,4.774841599606826E-6,200000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
250000.0,74.5928554,5.57727130838796E-6,250000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
300000.0,84.518469918,6.380467754434611E-6,300000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
350000.0,96.749740081,7.085561311905405E-6,350000.0,0.0,11.813400000000001,0.004609651710149841,-0.02006924804165994,0.003573286650414497,-68795.7812500028,3.6012903985542035,-648.2318004412016,0.03911124817706963
400000.0,113.231160358,8.419263942435826E-6,400000.0,0.0,3.1513999999999998,3.0550504633045106E-4,0.029765825263572993,1.6461946601270317E-5,-345787.85714292264,1.091089451187857,-3630.685670261944,0.011768299165356412
450000.0,123.044081783,9.213341084924251E-6,450000.0,0.0,0.43,0.0,0.0,0.0,-4978399.999995021,0.0,-23055.813953488534,0.0
494021.0,139.7630981,2.2989621315906997E-5,494021.0,0.0,36.9732,0.002293953404544599,-1.5060582950368635,0.0046150659310977525,-69929.77777777686,2.548837116161716,-67.07348107305693,0.006080885920220762
