learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,1.382978059,1.724487130318044E-7,10000.0,0.0,79.183,0.047750509014156596,56.157538589000566,0.09869926358840671,55.28034371643394,0.10257896673288233,42.478585244542685,0.13194393206453986
20000.0,5.686841629,1.931195230018865E-6,20000.0,0.0,85.74199999999999,0.03021405118299922,67.73031582042216,0.07704308480563658,69.29801894918174,0.06506040306416602,59.98316025820937,0.08479947006174333
30000.0,11.580237206,7.148220266115045E-6,30000.0,0.0,85.51799999999999,0.03626446071722535,68.94677369273155,0.0864357419947413,69.55644313643053,0.07623388841123417,63.2623033992897,0.09199508045972635
40000.0,18.767938066,1.8354834001475036E-5,40000.0,0.0,85.31400000000001,0.07601461847711996,69.85880999182025,0.15708429996436907,70.4149879129734,0.15313178581208764,66.18466497812572,0.17502790347022806
50000.0,27.308688094,3.905747805675885E-5,50000.0,0.0,85.685,0.054103809683072684,70.41007052921711,0.10843452543868994,71.32986180652912,0.10835932241753247,66.39671361502349,0.12700424808233338
60000.0,37.511580423,7.465793813341702E-5,60000.0,0.0,84.78399999999999,0.05578131905535762,62.29914642927203,0.13284731035681258,64.11320754716982,0.13155971475320313,49.46529392228496,0.1852584492041095
70000.0,49.533045635,1.3141424061094143E-4,70000.0,0.0,85.689,0.04750321626538143,62.670907747537626,0.12973169297297654,65.58201058201057,0.11424534936359139,51.45522388059701,0.16113709723670758
80000.0,63.109315855,2.1551884772494741E-4,80000.0,0.0,84.664,0.06545906269485491,66.28592700536616,0.15455883841104184,66.71152593878881,0.14208609223975538,59.71631205673759,0.17194395244248614
90000.0,77.881324952,3.312748050983902E-4,90000.0,0.0,84.31,0.05399588461684462,68.45091037901148,0.10888947241448016,68.76368703961776,0.10749728173769584,66.63122075712462,0.11483599450626344
100000.0,94.08017578,4.8729822850714316E-4,100000.0,0.0,85.51799999999999,0.06447738621666882,70.80730161603645,0.1317756935641633,71.24875918205281,0.12800751680895084,68.85591397849463,0.13866104562724485
