learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,0.507424361,3.0700621856322715E-8,10000.0,0.0,80.161,0.04963085957569421,57.69649595553248,0.11842917941879394,57.3813104189044,0.10661838791770845,45.18098922354241,0.13713970592896893
20000.0,1.104811641,1.1192427434100458E-7,20000.0,0.0,87.07799999999999,0.0898245202850795,71.1381460038034,0.20908865416275835,72.17484926787252,0.1934205863158473,63.74298540965208,0.25203288519943673
30000.0,1.706126835,2.211490214453637E-7,30000.0,0.0,86.121,0.07601827265715509,70.0626125176956,0.17267579136936323,70.84243697478993,0.1597022534814212,64.80983772819472,0.1927440990293002
40000.0,2.266852597,2.9555327647837906E-7,40000.0,0.0,85.71600000000001,0.22862973462687633,70.5139166168884,0.49556036936395614,71.21322047561466,0.46076125479015545,67.12543153049481,0.5261904134105313
50000.0,2.763105248,3.868742164950776E-7,50000.0,0.0,86.75399999999999,0.11428230153634696,72.4939116081418,0.22583118797397556,73.22417626844553,0.2310133445246559,67.8104495747266,0.27772126740302927
60000.0,3.258320478,4.102624407321587E-7,60000.0,0.0,84.022,0.16829075369068128,62.15861930224824,0.38954158863298594,63.26896551724139,0.3868752958406478,49.2278360343184,0.5347656615528508
70000.0,3.684543482,4.631936653594134E-7,70000.0,0.0,86.59900000000002,0.07999236074637307,66.03002975572319,0.19209053161917716,67.80927215950037,0.1921507584587395,54.6497461928934,0.27070172841412166
80000.0,4.275834041,4.838613819117118E-7,80000.0,0.0,82.822,0.10670624265816062,61.646349092735164,0.27928493961696377,62.6889661164205,0.23176855486133846,54.97247706422018,0.27970181561771945
90000.0,4.680682079,5.204991777061068E-7,90000.0,0.0,86.94200000000001,0.19661468239511914,73.74138443034735,0.3934936430050174,73.96730462519936,0.39197504464736505,72.19335604770016,0.4186854395126039
100000.0,5.197928619,6.002265379802942E-7,100000.0,0.0,87.48700000000001,0.12114316599241906,74.78792298199737,0.24487549286532048,75.17261904761904,0.24036342458813112,73.1076724693746,0.26035496667186436
