learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
20000.0,0.751691956,7.642405591594678E-8,20000.0,0.0,96.23750000000001,0.021682686385430732,89.91133801631432,0.05709006640777089,90.0725593667546,0.05721025431511728,84.94698939787958,0.08674809516075109
40000.0,1.751480954,2.505715290232955E-7,40000.0,0.0,96.58350000000002,0.0865674111121891,90.88004351911027,0.239457896627791,90.84293755025462,0.23202200780538373,86.33399999999997,0.3462696444487541
60000.0,2.903843489,5.547057347330348E-7,60000.0,0.0,97.306,0.03569780572154727,92.81215556569731,0.09595927408961492,92.79679144385027,0.09544867839985721,89.224,0.142791222886188
80000.0,4.151409148,7.743280200546795E-7,80000.0,0.0,97.1005,0.049252467507278005,92.23976717471959,0.1378126665983126,92.31920529801323,0.13047011260206337,88.40200000000002,0.19700987002911605
100000.0,4.963783548,8.844629110746065E-7,100000.0,0.0,91.725,0.08732442702678042,77.47010032484152,0.2924015037701446,77.86545405911461,0.23358145520069673,66.9,0.34929770810712335
120000.0,6.040501424,1.1056631983362534E-6,120000.0,0.0,92.10350000000001,0.07314008628804039,79.28921133931401,0.16484227956545444,78.9510862321738,0.194962245203364,68.414,0.2925603451521691
140000.0,7.155896201,1.3723627425341146E-6,140000.0,0.0,93.75299999999999,0.13085233407674957,83.4938965982039,0.3238167791047739,83.41651181311389,0.34736483694385495,75.012,0.5234093363070003
160000.0,8.239741766,1.6938328596412415E-6,160000.0,0.0,92.99399999999999,0.07692276068311185,81.56760583622797,0.19967200032304616,81.48520084566596,0.20328425127671773,71.976,0.30769104273244113
180000.0,9.465500122,2.1588705070106295E-6,180000.0,0.0,94.45349999999999,0.10033291805008139,85.30010023235397,0.2675100774020779,85.27412717376875,0.26638236572436463,77.81400000000001,0.40133167220033
200000.0,10.680611403,2.6776538883850826E-6,200000.0,0.0,97.469,0.05958560601726248,93.28087889568711,0.1583503832480375,93.22265363502477,0.15955444106911845,89.87599999999999,0.2383424240690483
