learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,4.79564605,5.62486979118776E-6,10000.0,0.0,84.42199999999998,0.07917350847628495,68.84367760334352,0.15835108479868687,68.51020820699414,0.16004347781743758,68.5483545326065,0.15984960322286623
20000.0,11.573266981,2.1902056623493957E-5,20000.0,0.0,86.975,0.10275375094532316,73.9439043686985,0.20539978154380245,73.72932634126664,0.20724838835280954,73.69749596122777,0.20749949706244478
30000.0,18.493473336,4.654878435151651E-5,30000.0,0.0,86.62799999999999,0.026407069760451388,73.25389655497622,0.0528725863059492,73.61483820047356,0.052105504657560135,72.85424279334146,0.053607530979397376
40000.0,25.529734154,7.431987856637439E-5,40000.0,0.0,87.50699999999999,0.07927518877653555,75.00911207522171,0.1585616817514859,74.97395833333333,0.15880446469658863,74.75651646797331,0.16018425697420877
50000.0,32.602135381,1.0456055845426616E-4,50000.0,0.0,87.06799999999998,0.15319413971965165,74.11502598350309,0.3063141511760077,73.9274193548387,0.3088591526605895,73.66727754021584,0.31194082614468077
60000.0,39.91849413,1.1338799846190666E-4,60000.0,0.0,87.90000000000002,0.09363047936792199,75.79720809629772,0.1872038848108577,75.97299444003177,0.1859223180459119,75.56542810985461,0.18907608919208474
70000.0,47.003128207,1.2298714865816712E-4,70000.0,0.0,87.36200000000001,0.09467840302835724,74.72403507548024,0.1893494964258144,74.39627228525121,0.19181199965226436,74.69363235883058,0.18958430722538572
80000.0,53.919528831,1.337175763798306E-4,80000.0,0.0,88.743,0.05639247388713401,77.47977888050674,0.11279120595421915,77.44088176352706,0.11301096971369554,77.09664292980672,0.1147354504316049
90000.0,61.007810975,1.4485567669079083E-4,90000.0,0.0,87.887,0.0714928123815412,75.77272410719604,0.14313702382689866,75.904117764074,0.1422176494560197,75.60813532017721,0.1439645839338334
100000.0,68.063872321,1.551767970402529E-4,100000.0,0.0,87.61,0.054974741674902315,75.21799706667304,0.1100715323504581,74.8936170212766,0.1113976528366808,74.74006116207951,0.11207898404669113
