learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,2.746796847,9.940986100064592E-8,10000.0,0.0,48.329,1.6276693972261889,34.358342573990136,1.8911208271387936,33.19844861021331,2.10429139912888,25.887837062535855,2.3345803173066395
20000.0,5.515797485,1.9962330373665323E-7,20000.0,0.0,40.998000000000005,1.247146788117225,24.610782246899564,1.0896242309820106,24.181444358776663,1.6026044565885702,15.506229414291852,1.7859756381458187
30000.0,8.317022166,3.025276973594085E-7,30000.0,0.0,36.857,0.7371311507006973,20.530344166260818,0.9037266508321431,18.335488877392653,0.9533512036998145,11.12878254750176,1.0374822669960546
40000.0,11.096341308,4.046273800201817E-7,40000.0,0.0,32.096,1.225243014444254,13.444710337398675,1.4021806223387274,13.0327868852459,1.5692149262861868,2.56277801693213,1.758133181868639
50000.0,13.833540663,5.051797711801507E-7,50000.0,0.0,36.41799999999999,1.55025503278224,17.87629215026711,1.8432484451252333,16.95141065830721,2.0248890187855806,9.025611675490058,2.2181356886281876
60000.0,16.555400238,6.051686478280875E-7,60000.0,0.0,35.237,1.1637172718873292,16.631645151379587,1.3846866635740505,16.682104721471763,1.4971275850859769,7.876244665718352,1.6553588504798427
70000.0,19.250793981,7.04185288863453E-7,70000.0,0.0,29.196,1.0415610079747288,9.593872325528796,0.8690035545722345,8.53378116522413,1.3455122180270362,-2.867935493244222,1.5132369722137564
80000.0,21.928678078,8.025587042709709E-7,80000.0,0.0,31.124999999999996,1.0920869420009052,12.344028023636655,0.8114200968874048,9.73132372214941,1.4313066081270056,1.4099627827082735,1.5632507042669703
90000.0,24.624240549,9.015815436140431E-7,90000.0,0.0,30.005000000000003,1.2669387865595116,11.170878048180327,0.8994837240158714,9.718818521862504,1.6341271592409539,-0.16456783056668825,1.8130205875207668
100000.0,27.378569782,1.0042624082007014E-6,100000.0,0.0,30.343999999999998,1.2211426343115424,12.023461016098391,0.8059439227579067,9.842091638622833,1.5805625605896232,0.7325067692746177,1.7402631242860798
