learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
20000.0,0.448931743,1.0246243869687119E-8,20000.0,0.0,99.2885,0.014357537702853506,98.577,0.02871507540570828,98.578137490008,0.028692121708342542,98.53796362889139,0.029502800170253723
40000.0,0.88573971,2.0289005022924393E-8,40000.0,0.0,96.517,0.02878271085989688,93.03399999999999,0.057565421719795326,92.98136020151134,0.058000424906593635,92.90775809407452,0.058608655792908186
60000.0,1.323049961,2.9371280090659847E-8,60000.0,0.0,94.63199999999999,0.010413666234542209,89.264,0.020827332469083512,89.1730536506656,0.021003764087419302,89.08721284813987,0.02117029118630205
80000.0,1.758875645,3.9299454622343183E-8,80000.0,0.0,94.75300000000001,0.021097656531260972,89.506,0.042195313062523665,89.52903612053483,0.0421026871507931,89.31908396946565,0.04294688352419709
100000.0,2.197684433,4.947903326913712E-8,100000.0,0.0,92.8195,0.039097101341830504,85.639,0.07819420268366171,85.46751669702489,0.07912791204580216,85.21313838550248,0.08051297640409898
120000.0,2.630469209,5.951886561731497E-8,120000.0,0.0,91.474,0.024172987679086683,82.948,0.048345975358177126,82.90697674418604,0.048462284841794476,82.43510506798518,0.04980013942951661
140000.0,3.064371354,6.941309971169048E-8,140000.0,0.0,84.62999999999998,0.05500505027318581,69.25999999999999,0.11001010054636898,69.07133514438073,0.110685280759,68.7029118305844,0.1120037676098236
160000.0,3.497789203,7.8964398942925E-8,160000.0,0.0,84.335,0.041150131632029234,68.67,0.08230026326405715,68.59777488222913,0.08248999024161441,67.72099732124458,0.08479318283954078
180000.0,3.930494962,8.887612846375752E-8,180000.0,0.0,96.28549999999998,0.02121909517392303,92.57100000000001,0.0424381903478471,92.5561122244489,0.042523236821488855,92.44559690868417,0.04315455597706616
200000.0,4.36304501,9.87762343342561E-8,200000.0,0.0,93.46149999999999,0.028867994580695066,86.923,0.05773598916139282,86.94388977635785,0.057643759146759996,86.58494050061553,0.05922854858575467
