learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
47000.0,121.118199255,4.269108282840718E-5,47000.0,0.0,73.51595744680851,0.2853979050149332,54.42672616438223,0.6115316700237251,-60.15826042202781,1.72590086666261,39.1647524558917,0.6555740939202291
94000.0,243.99792781,8.600305990485909E-5,94000.0,0.0,76.98680851063831,0.8114703696109323,21.7234389401874,3.3359582317197014,-671.4835948644804,27.20335761177877,9.02346707040121,3.2079323216177777
141000.0,365.911303637,1.2897442223797545E-4,141000.0,0.0,81.9936170212766,0.4971306431050776,20.30816476152648,3.4604057367382755,-445.2963917525766,15.054858393001728,8.458626284478122,2.5273272283330117
188000.0,487.716193871,1.7190754616047362E-4,188000.0,0.0,62.74234042553192,0.1389551393724254,17.837218311137963,0.23789281573089385,-861.6199890170227,3.5864313841318,9.264210580859107,0.3384056972124978
235000.0,610.267358414,2.1510371278451621E-4,235000.0,0.0,70.36106382978723,0.2644671341528651,48.08570130688105,0.4553761721548747,-648.5384202041919,6.6791807120820454,52.47253497099966,0.42408581730415124
282000.0,732.357109219,2.5813724280870595E-4,282000.0,0.0,69.06425531914894,0.3861882587008477,54.379519617174154,0.64816192652385,-483.4590690208674,7.283646933763965,49.388053467000844,0.6318173266130537
329000.0,855.427376124,3.015163798044094E-4,329000.0,0.0,59.42978723404256,0.8922589026728299,41.4393088330784,1.3870189806221462,-851.4970059880242,20.92623174931289,33.11820413889863,1.4709283909373205
376000.0,978.865589661,3.4502520862380025E-4,376000.0,0.0,62.934042553191496,0.9753699358422336,37.808445661262326,1.8829604690497184,-734.7388596070916,21.965686144985604,31.733218386300408,1.7964021703274018
423000.0,1099.960024517,3.877079151063542E-4,423000.0,0.0,62.25893617021276,1.0463640030505323,40.091992640027925,1.4891824222377747,-846.042666666667,26.22885767646668,35.60480650548174,1.7853448102582967
470000.0,1222.406060995,4.3086702676295067E-4,470000.0,0.0,67.75531914893617,1.4432865978073417,39.848742737026114,2.018172677371412,-859.1772151898742,42.93320892211717,14.610096912328162,3.8220909452865137
