learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
4600.0,1.322030616,2.022002996778786E-6,4600.0,0.0,75.48478260869565,0.36003701763050927,50.83252535366665,0.6482185970443187,-52.80487804878044,2.2441331722226865,37.7992277992278,0.9134971214011822
9200.0,4.273580567,1.0155414156533064E-5,9200.0,0.0,82.14999999999999,0.18521404592020912,64.39895299639868,0.3670786685131614,-5.811855670103086,1.0979183134445347,61.25058990089665,0.40206918887822546
13800.0,7.233183214,2.0618021087843072E-5,13800.0,0.0,81.66304347826087,0.25352482564646717,63.327930213500935,0.5071975338525686,-28.97553516819572,1.7832021375745384,62.34374999999999,0.520631338381137
18400.0,10.614568508,3.054934647203496E-5,18400.0,0.0,77.00434782608696,0.27491955249575284,51.41775988306772,0.5936603524706665,-53.52685050798257,1.835457099391096,43.31189710610932,0.6777223694964987
23000.0,14.032902749,4.217451279872838E-5,23000.0,0.0,77.9608695652174,0.2510385904020244,52.663427402399414,0.522146570349635,-42.38764044943819,1.6218785334962253,45.52391187533584,0.6205145168454123
27600.0,17.828994701,5.847075731974427E-5,27600.0,0.0,75.68695652173913,0.2281446679149097,48.361564216347155,0.48454560679243774,-101.51351351351346,1.8909287791145715,41.105845181674574,0.552641112379456
32200.0,21.353199026,7.522693340944071E-5,32200.0,0.0,73.7413043478261,0.2472798879714417,42.98989260574363,0.5403448766479362,-106.12627986348124,1.9411049226427222,31.949295774647894,0.6408380195316252
36800.0,25.399122536,9.197464503084446E-5,36800.0,0.0,65.83478260869565,0.3750964309256665,28.05681135826077,0.7402342362138167,-145.17940717628704,2.6917996603089955,12.102908277404914,0.9650131891823643
41400.0,29.221846279,1.0909629766556009E-4,41400.0,0.0,79.83695652173914,0.2581429568657137,59.787668877770464,0.5130487803894892,-31.93456614509242,1.6891288784954286,57.51259734310582,0.5439567574815782
45312.0,32.167579836,1.217623640779019E-4,45312.0,0.0,82.63913043478261,0.24601849477012114,64.44440639673867,0.5011922218589874,-11.848739495798302,1.584993103561006,64.39589835042354,0.5045408274376091
