learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
4600.0,0.158788589,5.69449669410785E-9,4600.0,0.0,81.64565217391305,0.4579119618871291,61.514263714903116,1.1714876545766493,-14.403794037940342,2.8541938003804757,53.430777716491995,1.161828474727409
9200.0,0.323726729,1.1838921221991381E-8,9200.0,0.0,80.62608695652173,0.4333284862314339,60.723728517468224,0.9453056067178481,-14.84536082474227,2.568699789516234,57.942425672487026,0.9406847742636129
13800.0,0.493911798,1.812351117605758E-8,13800.0,0.0,79.17173913043479,0.4689525659773449,58.39336541752656,0.9239829198812501,-46.49847094801223,3.2984431246112944,57.22767857142857,0.9630275908463326
18400.0,0.669825277,2.450859789024833E-8,18400.0,0.0,77.43695652173912,0.6249675479917715,51.87206209040974,1.4908934961439029,-50.63860667634251,4.172497417651887,44.378349410503745,1.5406488321340568
23000.0,0.864509152,3.15185802436351E-8,23000.0,0.0,74.22608695652174,1.7241358422225495,43.841043562894576,4.066852185429672,-66.51685393258427,11.13907987952771,36.29231595916173,4.261700630963852
27600.0,1.059705715,3.7517278128816844E-8,27600.0,0.0,77.45652173913044,1.4280106619859816,51.5104811893495,3.7248997693473056,-86.84684684684682,11.835764045289212,45.392311743022645,3.4591095551003224
32200.0,1.248357249,4.3561201001658216E-8,32200.0,0.0,74.49565217391304,2.104432664876639,40.837702950736386,6.482836365503647,-100.20477815699658,16.519437301079414,33.90422535211268,5.4537409906662155
36800.0,1.432474138,5.0232994366269575E-8,36800.0,0.0,76.4,1.6578696634675478,48.12258693044317,4.783836837126336,-69.36037441497662,11.897348598987078,39.284116331096186,4.265212780733064
41400.0,1.620886548,5.717469559555873E-8,41400.0,0.0,80.78043478260868,0.7239014375765188,61.60192979973791,1.4496828295741615,-25.76102418207678,4.736766163374097,59.50068712780577,1.5253992729509802
45312.0,1.77892483,6.27598612970176E-8,45312.0,0.0,80.40217391304348,0.5473125612458953,60.21144629351852,1.1062827849954384,-26.260504201680646,3.5261033357578717,59.80829246544806,1.12244216751276
