learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
4600.0,1.039438681,4.8940442487494E-7,4600.0,0.0,65.1086956521739,0.13432210563169225,31.26286555922482,0.22348649976147641,-117.4796747967479,0.837238056782909,11.472697186982897,0.34080622498940266
9200.0,4.22816689,1.1758090740806322E-6,9200.0,0.0,66.67391304347827,0.07467636537964101,33.94529472762382,0.15229644234113796,-97.5515463917526,0.4426691762195263,27.65455403492213,0.16211009001715612
13800.0,8.742181714,4.483145659454311E-6,13800.0,0.0,70.25000000000001,0.27582436445173864,40.51102689761168,0.5674765539583356,-109.25076452599387,1.940049046602434,38.90624999999999,0.5664250341419602
18400.0,14.488002784,7.713256664951166E-6,18400.0,0.0,66.67173913043476,0.10929544658393743,30.553199239204734,0.22935683560596792,-122.510885341074,0.7296938378608295,17.840300107181122,0.2694314331651185
23000.0,21.969430692,1.638175348539313E-5,23000.0,0.0,64.08695652173913,0.1361470596235949,27.785616738972863,0.21750562999704928,-132.02247191011233,0.8796017897029876,11.230521225147772,0.33652685344896816
27600.0,30.932360623,2.598587674451209E-5,27600.0,0.0,68.90217391304347,0.06393670073848956,37.38336260983312,0.11825697190943053,-157.7477477477477,0.5299258079226262,24.670879410215914,0.15487563106743393
32200.0,40.425013033,4.256281890546491E-5,32200.0,0.0,65.66739130434782,0.15508092893053615,29.793804237229484,0.28485001672854293,-169.50511945392492,1.2173588277823748,11.025352112676067,0.4018998721580117
36800.0,51.396835504,6.171147011242373E-5,36800.0,0.0,62.836956521739125,0.1614251406517792,24.3387103148667,0.27984186949163703,-166.6926677067083,1.158433146643035,4.390380313199091,0.4152995788580456
41400.0,63.742527553,8.372979867651159E-5,41400.0,0.0,70.73260869565217,0.0694329963258534,41.97913191621902,0.13889308506588655,-91.50782361308673,0.4543268607381577,38.3279890059551,0.14630865006822052
45312.0,75.111474884,1.0838058179826187E-4,45312.0,0.0,69.68478260869566,0.1340187956860671,39.83432404663812,0.27965683122757734,-95.30812324929968,0.8634264147841774,37.82880071333035,0.2748490682817223
