learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,34.935237154,6.90471954489832E-5,50000.0,0.0,79.60979999999999,0.03458124090055451,21.699321982468742,0.17778997836519722,-15584.769230769618,26.60095453888913,15.280870865880011,0.14368140643408261
100000.0,63.160040791,1.1766803372362934E-4,100000.0,0.0,41.1664,0.07624160427366597,5.115194370495265,0.09403237518914159,-37613.84615384602,48.872823252348624,12.520296190561162,0.11336367245615907
150000.0,91.562487598,2.506814044980753E-4,150000.0,0.0,35.6116,0.13779043669443997,4.445148173156301,0.12780804861198122,-14401.891891891893,31.03388213838759,-114.79983987189749,0.45966919100093434
200000.0,99.798048102,2.7156461841224943E-4,200000.0,0.0,1.111,3.3333333333330714E-4,0.0,0.0,?,?,?,?
250000.0,107.13899229,2.9017932080385457E-4,250000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
300000.0,114.362584966,3.08496450646869E-4,300000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
350000.0,128.308896197,3.5297146216599335E-4,350000.0,0.0,13.4822,0.041828698282399594,0.3864539089593814,0.03225747944483193,-67492.03125000276,32.67867053312797,-634.0726285423387,0.35490156357035546
400000.0,142.023247912,3.838232586085401E-4,400000.0,0.0,7.9658,0.04478437227426546,-0.41448114064690467,0.09363093644271356,-328593.5714286337,159.94418669383404,-3445.2311248073984,1.7251299027066647
450000.0,149.657413664,4.00851320423124E-4,450000.0,0.0,0.43,0.0,0.0,0.0,-4978399.999995021,0.0,-23055.813953488534,0.0
494021.0,175.444777864,4.849908035621095E-4,494021.0,0.0,40.58239999999999,0.03389500127026331,3.38450931251535,0.0631680964869656,-65919.55555555467,37.661112522510784,-57.506096914431126,0.08984996625560068
