learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,3.477914303,2.68971550949961E-7,50000.0,0.0,99.81660000000001,0.0024230375793857016,99.49767047929251,0.0066332266215672585,-41.076923076925034,1.863875061065435,99.23799235499419,0.010067465428722049
100000.0,6.062358359,4.3978484679192317E-7,100000.0,0.0,99.7124,0.01319528535332018,99.38045111115886,0.028446368200428947,-84.35897435897371,8.458516252128627,99.57236744282869,0.019620075167751716
150000.0,8.29610678,6.094897649961895E-7,150000.0,0.0,99.49940000000001,0.026620042574471897,98.81075893778385,0.06351277726861472,-12.747747747747745,5.995505084340421,98.3299973311983,0.08880451886332849
200000.0,10.422741959,7.710569521107271E-7,200000.0,0.0,100.0,0.0,?,?,?,?,?,?
250000.0,12.544353335,9.322424650540943E-7,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,14.674138759,1.094048986224796E-6,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,16.929349813,1.267158099529373E-6,350000.0,0.0,99.90899999999999,0.0023523038352516678,99.56313012398924,0.011296298257958191,28.90624999999626,1.8377373712898675,99.227897505515,0.019958457791031763
400000.0,19.205529011,1.4220725434821904E-6,400000.0,0.0,99.9156,0.0037333333333327673,98.35330412541414,0.0715904067552135,-201.42857142862468,13.333333333333945,96.74884437596306,0.14381099126859792
450000.0,21.995976777,1.6163766800147972E-6,450000.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
494021.0,23.998180766,1.7300818064968797E-6,494021.0,0.0,99.8244,0.0015434449203712373,99.62649102025449,0.0032826974698543327,-95.11111111110752,1.714938800412432,99.53451383734493,0.004091413742899918
