learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,6.452531286,1.0936284999377283E-6,50000.0,0.0,99.6742,0.026886510454955853,99.10629847041321,0.07397236430741577,-150.61538461539038,20.6819311191972,98.64633538308127,0.11171061349075602
100000.0,12.390421925,2.325450258778878E-6,100000.0,0.0,99.5612,0.017864178931282493,99.055472845563,0.03836150157419192,-181.28205128205045,11.451396750821907,99.34754810122818,0.026562254930981074
150000.0,18.430793909,3.656351780058889E-6,150000.0,0.0,98.8776,0.04806643550568599,97.3420318230203,0.11316126569096183,-152.79279279279257,10.825773762541724,96.25567120362957,0.16034973147079504
200000.0,20.962244207,4.17639048419792E-6,200000.0,0.0,99.9958,0.0010934146311246276,0.0,0.0,?,?,?,?
250000.0,23.34034557,4.667820521323424E-6,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,25.774099861,5.170751128146548E-6,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,29.22741086,6.089854325219905E-6,350000.0,0.0,99.8578,0.011949709433940813,99.31599074531685,0.05765599131910083,-11.093750000004608,9.335710495265044,98.79348379433226,0.10138901606939338
400000.0,32.909351195,7.036393093746537E-6,400000.0,0.0,99.90340000000002,0.022378660470290246,98.12677767564591,0.4189427542867493,-245.0000000000694,79.92378739390305,96.27889060092446,0.8620439318292992
450000.0,35.307005234,7.714765328605135E-6,450000.0,0.0,99.9984,6.531972647418822E-4,99.81227992913291,0.07674800135238596,20.00000000005551,32.65986323706749,99.62790697674407,0.1519063406376756
494021.0,41.049589089,9.434044591045532E-6,494021.0,0.0,99.616,0.06621178142898768,99.18402761720597,0.14050793176432266,-326.6666666666609,73.5686460322075,98.9820803732372,0.17551633291535332
