learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,17.22028081,1.5987741391207606E-6,50000.0,0.0,76.46599999999998,0.05684051762998352,3.5264580901586857,0.3463163192507487,-18003.07692307737,43.72347509998806,2.2187136446734304,0.23616635212723525
100000.0,35.807775414,3.3244838422206535E-6,100000.0,0.0,37.17059999999999,0.008959414663420361,0.6929476724478131,0.012119890037529795,-40175.25641025626,5.743214527833775,6.578939542629438,0.013321757313200745
150000.0,53.508565219,4.967869643793213E-6,150000.0,0.0,31.1506,0.10476642804087793,0.8434915313264203,0.09104802055379077,-15406.621621621622,23.596042351549098,-129.68174539631704,0.34950102762502544
200000.0,62.556834038,5.807933656177342E-6,200000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
250000.0,72.034997843,6.6879101992418815E-6,250000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
300000.0,81.208705295,7.539620249498433E-6,300000.0,0.0,0.0,0.0,0.0,0.0,?,?,?,?
350000.0,92.704935392,8.606959137827828E-6,350000.0,0.0,11.9936,0.023068593368473847,0.055584675952256475,0.006176593052128144,-68655.0000000028,18.02233856912127,-646.7028678092655,0.1957287745500884
400000.0,107.525579298,9.982944957308227E-6,400000.0,0.0,3.6992,3.2659863237103704E-4,0.05944301256209896,1.7788849856505526E-5,-343831.4285714938,1.1664236870347184,-3609.5839753466894,0.012580841000563397
450000.0,116.420757059,1.084377368169659E-5,450000.0,0.0,0.43,0.0,0.0,0.0,-4978399.999995021,0.0,-23055.813953488534,0.0
494021.0,131.825711649,2.372092329049371E-5,494021.0,0.0,38.4182,0.00759210115844071,0.7684855162771229,0.015222567691430593,-68324.2222222213,8.435667953822728,-63.243028310889606,0.020125387441523694
