learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
50000.0,25.493870148,3.050186222741753E-6,50000.0,0.0,97.485,0.0023142073276942996,92.90628080550589,0.006815715450357527,-1834.6153846154314,1.7801594828421472,89.55044041881338,0.009615287218277773
100000.0,50.962206443,6.097317475556146E-6,100000.0,0.0,97.23559999999999,0.03217977280494366,94.1230170120663,0.0673542065393224,-1672.051282051275,20.628059490348466,95.88961251375382,0.0478481172940553
150000.0,76.508119587,9.15373032565843E-6,150000.0,0.0,97.08619999999999,0.02613035697336753,93.10805060601153,0.059824559666835996,-556.2612612612612,5.885215534542077,90.27955697891646,0.08717092665254417
200000.0,101.31095816,1.2121238831078007E-5,200000.0,0.0,99.9334,3.0550504632979544E-4,0.0,0.0,?,?,?,?
250000.0,126.420983054,1.5125500308042877E-5,250000.0,0.0,100.0,0.0,?,?,?,?,?,?
300000.0,151.487882724,1.8124602114728825E-5,300000.0,0.0,100.0,0.0,?,?,?,?,?,?
350000.0,176.498672884,2.111699076043243E-5,350000.0,0.0,99.4914,0.03365848085302413,97.53906547231394,0.1586563594439057,-297.3437500000181,26.295688166425744,95.68471067368061,0.28558018711202826
400000.0,201.248628476,2.4078172139404455E-5,400000.0,0.0,99.35359999999999,0.04565162769399461,88.46385761524849,0.7185281001882193,-2208.571428571871,163.0415274785813,75.10015408320487,1.7585372763480018
450000.0,225.405549705,2.696840057034883E-5,450000.0,0.0,99.978,0.0,97.49462711396532,0.0,-999.9999999988897,0.0,94.88372093023257,0.0
494021.0,246.769650232,2.9524485021647303E-5,494021.0,0.0,97.17880000000001,0.02394289502592135,94.01073791080215,0.050367052310485,-3034.666666666626,26.603216695466635,92.52147174212703,0.06346860095939162
