learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,1.412232438,2.983557831724485E-8,10000.0,0.0,77.30000000000001,0.06180614856144784,54.15715039246391,0.12586366832115697,53.654552878726015,0.12618650175877758,47.0615671641791,0.14413747332427587
20000.0,2.568709904,5.341108426286943E-8,20000.0,0.0,78.277,0.07310646726217578,56.133552333702106,0.14701125253076996,54.865987949303964,0.15189376119296852,49.504881450488135,0.1699360001445274
30000.0,3.711889481,7.713900619276901E-8,30000.0,0.0,77.77,0.04240020964308703,55.24473738480073,0.08514133207374136,54.78030919446705,0.08624940936348124,48.83774453394706,0.09758391172171968
40000.0,4.874621951,1.0084202425023948E-7,40000.0,0.0,77.946,0.04856153027059853,55.374793076978634,0.09902410886830593,54.55594477642694,0.1000649706791639,48.254340685124355,0.113940709222427
50000.0,6.023018434,1.242527943766509E-7,50000.0,0.0,77.76700000000001,0.03930083403129619,55.1750657884379,0.07873205846153081,54.4405737704918,0.08053449596577261,48.629852125693155,0.0908059936028123
60000.0,7.185945671,1.4795978287946201E-7,60000.0,0.0,77.903,0.03200867937850037,55.53029204146568,0.06311679648008106,55.68190934616928,0.06419711066686462,49.376861397479956,0.07333030785452169
70000.0,8.345488168,1.7159777137117022E-7,70000.0,0.0,78.07499999999999,0.05608029957123939,55.70021186088299,0.11521572054100616,56.02687525070197,0.11247553062823863,49.1535250463822,0.13005635336558383
80000.0,9.480887499,1.9474358654319595E-7,80000.0,0.0,76.405,0.03600154317680201,52.454466638914234,0.0745113401582858,53.38798893717898,0.07112118367602176,45.26791927627001,0.08351088651543101
90000.0,10.632303262,2.1864245937384647E-7,90000.0,0.0,78.49400000000001,0.05325410782277611,56.638301849865734,0.10381896062069693,55.86702236815104,0.10928403000774935,50.79844429192405,0.12183506708482383
100000.0,11.798359393,2.4241323230935865E-7,100000.0,0.0,78.05999999999999,0.0462120715349962,55.67984809889124,0.09174630106722689,55.02255022550226,0.09473569400368312,48.86972733628525,0.10769534265904561
