learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,1.552508175,9.81881843445357E-7,10000.0,0.0,83.915,0.043544357971051384,64.94496052055992,0.09050534896013777,65.44575725026854,0.09354319650064921,55.55402044763746,0.1203215196768498
20000.0,3.540933587,2.997937825773431E-6,20000.0,0.0,88.516,0.029597297173896843,74.21964314837469,0.06999022300359332,75.27131782945736,0.0637323367224312,67.76873421274206,0.08306847368480878
30000.0,5.597145923,5.3928074990601085E-6,30000.0,0.0,87.151,0.05231209760232716,72.33683639709747,0.1163922519673805,72.98927895732605,0.10996867269776812,67.40487062404871,0.13270445865633873
40000.0,7.794601429,8.658425769863E-6,40000.0,0.0,87.61,0.08201625855077006,74.47472275763477,0.17810061982001366,75.0402900886382,0.16522211633918213,71.47133317982963,0.1888470148532576
50000.0,9.989183805,1.273544868109821E-5,50000.0,0.0,88.907,0.05028916384272017,77.1029624980298,0.1104697013486776,77.78289605447627,0.10071933475409556,73.96009389671363,0.11804968038196949
60000.0,12.22010213,1.6193949584041728E-5,60000.0,0.0,85.342,0.14194521634928253,65.16237196205901,0.25305868348509425,65.42924528301887,0.3347764536539679,51.31849883759549,0.4714221731958899
70000.0,14.279475283,1.9512067986776967E-5,70000.0,0.0,88.662,0.06752448115724945,71.35888533873279,0.14313461839677233,72.73208273208273,0.162396539579723,61.54002713704205,0.2290518356758776
80000.0,16.408442783,2.306876563365211E-5,80000.0,0.0,84.42999999999999,0.19972759226283937,65.26503537097852,0.4938533788972359,66.20360321250271,0.433530697336314,59.101654846335705,0.5246324987203564
90000.0,18.653122171,2.6232257525658397E-5,90000.0,0.0,87.471,0.18624028684590307,74.74133151546444,0.3863592368262736,75.05673900059725,0.37077500865200685,73.35389196086771,0.39608738163739576
100000.0,20.924456038,3.0187594491499547E-5,100000.0,0.0,88.54400000000001,0.06354700797222582,76.91056189345512,0.1338282122749636,77.25630335517171,0.12616042877154382,75.36344086021505,0.13666023219833653
