learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,0.176576669,7.6812692104756E-9,10000.0,0.0,85.23300000000002,0.10586206958952633,67.05490298550309,0.22869128239687722,68.27712137486574,0.2274158315564484,59.19591047250622,0.29251746225345954
20000.0,0.339229682,1.4653163564606673E-8,20000.0,0.0,85.14500000000001,0.14334302292829681,66.63979315551418,0.32111974447727243,68.01248923341947,0.3086628400695444,58.31930415263749,0.4021970340300128
30000.0,0.499455024,2.1681163576539182E-8,30000.0,0.0,85.157,0.10275158825482403,68.28524451708374,0.21672536830436492,68.8172268907563,0.21586468120761348,62.3656186612576,0.2605263393884997
40000.0,0.659902297,2.8720558510532378E-8,40000.0,0.0,84.819,0.10648369723942472,68.89251578257894,0.22025835506050923,69.40548166062071,0.21459834187711876,65.0609896432681,0.24507180032088866
50000.0,0.824431226,3.592472885110725E-8,50000.0,0.0,84.49,0.15732485852881256,67.55517784503954,0.33535949045351515,68.64766525166768,0.31802073686843074,62.308626974483595,0.3823204338488771
60000.0,0.978724328,4.2598959208329494E-8,60000.0,0.0,84.688,0.11496666183434778,62.67308238374855,0.2854359142364569,64.80000000000001,0.2642911766306862,51.3441372735939,0.36532145482792544
70000.0,1.141758345,4.973024920804423E-8,70000.0,0.0,85.174,0.11790014607473763,61.73021886636065,0.3045513940915361,64.38625990871967,0.28320957500537497,49.82741116751269,0.3989852659043564
80000.0,1.29780115,5.6461435238300896E-8,80000.0,0.0,83.423,0.11381319978123929,64.01152811186563,0.24303679066963,63.994352736750656,0.24720503862128573,56.54783748361729,0.29833079890233294
90000.0,1.453891891,6.324379210999649E-8,90000.0,0.0,84.85499999999999,0.1333020796703654,69.54659157120834,0.2639344020654319,69.80661881977669,0.2657537473492149,67.74914821124361,0.28386303166602556
100000.0,1.609908137,7.010137485575546E-8,100000.0,0.0,84.787,0.1500818295316131,69.35731883990174,0.3020651412368933,69.81547619047619,0.2977814078008165,67.30496453900709,0.32254852682486734
