learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
10000.0,0.326094888,2.2082330318291984E-8,10000.0,0.0,86.199,0.06692367128137508,69.22868765105805,0.16172586775159886,70.35230934479056,0.14376728524463075,61.86515612047527,0.18492310384464367
20000.0,0.758421103,8.433151610472962E-8,20000.0,0.0,87.209,0.09862893422655834,71.43126034196482,0.22394316625424535,72.4569336778639,0.21237927266700704,64.11054994388327,0.27673662802064664
30000.0,1.253009706,1.7736171134022164E-7,30000.0,0.0,86.374,0.08321591728082167,70.65824283628746,0.1905286982386702,71.37394957983193,0.17482335563198217,65.45131845841786,0.21099370507308318
40000.0,1.758474817,2.4742097758952114E-7,40000.0,0.0,85.89699999999999,0.2433883499448759,70.93648145301705,0.5155876801405198,71.57799274486095,0.49050453435081715,67.54200230149598,0.5601573071228446
50000.0,2.271196843,3.4648830204609364E-7,50000.0,0.0,86.79400000000001,0.12148342365204717,72.56602254331618,0.24552052749483086,73.3050333535476,0.2455698881181433,67.90765492102065,0.2952209566270844
60000.0,2.736057768,3.7017179660470316E-7,60000.0,0.0,84.874,0.10319560714164723,63.65636770154961,0.2598791965357192,65.22758620689656,0.2372312807853976,51.93517635843661,0.32791740432681193
70000.0,3.164412986,4.270504445407187E-7,70000.0,0.0,86.898,0.06253532335142005,66.78654230364033,0.1341393006223745,68.52750420369925,0.1502169669743441,55.661590524534695,0.21162545973407684
80000.0,3.720675023,4.4943291278116597E-7,80000.0,0.0,84.03699999999999,0.0784438936083899,64.74196996905587,0.20764914113349642,65.32797567332753,0.17038204519632957,58.15727391874181,0.20561964248595083
90000.0,4.116904661,4.898649418777619E-7,90000.0,0.0,87.238,0.15320139250890158,74.34075514725046,0.30649071149878615,74.55741626794257,0.305425423662086,72.82367972742759,0.32623805900532815
100000.0,4.634999563,5.725473792200884E-7,100000.0,0.0,87.618,0.07653321718922557,75.05822895492297,0.15589725208700633,75.43253968253967,0.15185162140719466,73.38921126155168,0.16448144678535584
