learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1820.0,0.136026336,5.501734469115735E-8,1820.0,0.0,69.14835164835165,0.12100393156892932,26.73238141920829,0.12978420832470244,3.189655172413782,0.37970199216457173,-2.0909090909090837,0.4004130099190029
3640.0,0.464778321,3.3443731258721407E-7,3640.0,0.0,75.85164835164836,0.2838827838827848,30.658932075294636,1.6323841669571266,21.79715302491104,0.9193357058125751,13.48425196850394,1.0170603674540692
5460.0,1.054898817,1.1428806105384354E-6,5460.0,0.0,74.16483516483518,0.09890109890109712,36.796677862041925,0.6226977937334557,23.668831168831183,0.29220779220779125,17.363796133567675,0.31634446397187926
7280.0,2.031574814,2.0176332124817662E-6,7280.0,0.0,76.22527472527473,0.24545541285314842,39.24838438837682,0.9353860600853063,22.732142857142865,0.797730091772731,21.470054446460992,0.8107601658670224
9100.0,2.680388196,2.8030379046003235E-6,9100.0,0.0,74.86813186813188,0.18041919935567313,32.219458443136446,0.30701438903707945,24.01993355481729,0.5454533934008726,20.174520069808025,0.5730592370459434
10920.0,3.490842025,4.094166624549286E-6,10920.0,0.0,77.81318681318682,0.18402720420630658,37.58516015979441,0.5023887871945462,25.08348794063079,0.6213905596576589,20.19762845849803,0.6619160309396799
12740.0,4.270979157,5.61112077126372E-6,12740.0,0.0,78.3956043956044,0.1836622877175325,35.29755643122431,0.9430912994291917,29.66010733452594,0.5979702390803403,21.360000000000003,0.6685307272918203
14560.0,5.337156744,6.99186256543216E-6,14560.0,0.0,75.10989010989012,0.36767142673781533,44.18057671675022,0.6360618274674833,24.247491638795996,1.1189999944194382,32.083958020989506,1.0032413743070823
16380.0,6.163981662,8.336730111863384E-6,16380.0,0.0,76.02197802197801,0.1893103232149836,45.66788378826999,0.46289778381857877,25.90831918505941,0.584965684637128,30.949367088607588,0.5451658041950453
18159.0,7.015266989,9.91242180930588E-6,18159.0,0.0,69.87362637362638,0.3089814699399498,39.03093089335715,0.40848143432418843,10.114754098360669,0.9218791398208347,15.775729646697382,0.8638191632729796
