learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1820.0,0.084496445,1.312956439662311E-9,1820.0,0.0,69.09340659340658,0.1683089397715401,31.479617159966836,0.792845077409444,3.0172413793103345,0.5281418454900049,-2.2727272727272645,0.5569495825167323
3640.0,0.163704958,5.360397810385459E-9,3640.0,0.0,74.7032967032967,0.13832386511720837,21.330526006082486,1.2833063273723906,18.078291814946624,0.44795273045075,9.370078740157487,0.49556975297898015
5460.0,0.268080898,1.1595729744951757E-8,5460.0,0.0,73.58791208791209,0.7043095004509727,29.723850108608758,3.003993368020867,21.964285714285715,2.080914433150602,15.518453427065026,2.252800159614712
7280.0,0.375488591,1.7334853652872974E-8,7280.0,0.0,74.96153846153847,0.35946460506108907,33.44736422772564,2.5749841510905984,18.624999999999996,1.168259966448542,17.295825771324864,1.1873422526518755
9100.0,0.492580549,2.6489027536689408E-8,9100.0,0.0,73.0934065934066,0.2001371478935526,28.41265203615774,1.268029587291002,18.654485049833895,0.6050657959572552,14.53752181500872,0.6356886721924391
10920.0,0.609320335,3.707834750216868E-8,10920.0,0.0,75.6153846153846,0.2076635572609288,30.741478566099296,1.4419361021304216,17.662337662337645,0.7012016219200186,12.292490118577074,0.7469321624800194
12740.0,0.732562077,4.82781117704759E-8,12740.0,0.0,76.05494505494505,0.14323234282796504,31.911085411657414,1.0396309464822315,22.039355992844364,0.46633786037011693,12.839999999999996,0.5213657278937905
14560.0,0.894801368,6.772330305365225E-8,14560.0,0.0,72.17582417582418,0.38862380102197375,35.182286923224005,1.2290603702627119,15.317725752508379,1.1827680900668749,24.077961019490264,1.0604127704047845
16380.0,1.041206431,8.429471740125161E-8,16380.0,0.0,74.15384615384615,0.3965698435132507,41.93071222311729,1.005997830177027,20.135823429541578,1.2253940835214212,25.56962025316455,1.1420207518894252
18159.0,1.203112458,1.0561060083568718E-7,18159.0,0.0,67.8076923076923,0.740998118193375,34.71382708884012,0.8499396516841163,3.9508196721311606,2.210846844445808,9.99999999999999,2.071607642261049
