@relation 'generators.SEAGenerator -weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data
0.730883,0.410077,0.207713,groupB
0.65887,0.710762,0.15273,groupB
0.939876,0.947238,0.937127,groupB
0.913973,0.159313,0.369011,groupB
0.115953,0.770563,0.659919,groupB
0.76168,0.623987,0.879304,groupB
0.805234,0.004986,0.523153,groupA
0.705014,0.275014,0.075377,groupB
0.5771,0.204891,0.623388,groupA
0.001281,0.683546,0.486275,groupA
0.540396,0.973879,0.245427,groupB
0.845664,0.406536,0.949885,groupA
0.889918,0.03829,0.592402,groupB
0.228792,0.991929,0.58627,groupA
0.206726,0.374642,0.463364,groupA
0.290724,0.051413,0.183536,groupA
0.630406,0.909624,0.507677,groupB
0.116657,0.136802,0.546109,groupA
0.962426,0.209471,0.172644,groupB
0.801164,0.109811,0.518805,groupB
0.69901,0.204613,0.25491,groupB
0.174359,0.699613,0.929016,groupB
0.836323,0.163078,0.637523,groupB
0.654428,0.372866,0.910609,groupB
0.707048,0.723395,0.50951,groupB
0.139601,0.596591,0.947305,groupA
0.123658,0.616965,0.481878,groupB
0.063434,0.590881,0.284012,groupA
0.073011,0.074014,0.679963,groupA
0.353333,0.154949,0.366779,groupA
0.598633,0.292079,0.876483,groupB
0.539761,0.641853,0.970668,groupB
0.729828,0.886782,0.04369,groupB
0.338648,0.299112,0.084242,groupB
0.763826,0.427697,0.999232,groupB
0.630473,0.552816,0.543438,groupB
0.907291,0.246467,0.248489,groupB
0.854058,0.77774,0.216405,groupB
0.024456,0.451008,0.369142,groupA
0.131055,0.04201,0.824331,groupA
0.743374,0.929144,0.589916,groupB
0.008335,0.546382,0.835558,groupA
0.880608,0.630417,0.928938,groupB
0.255953,0.241317,0.424265,groupA
0.378617,0.786638,0.712782,groupB
0.79757,0.527042,0.417647,groupB
0.667076,0.42644,0.400567,groupB
0.547223,0.075374,0.651171,groupA
0.512717,0.478678,0.131162,groupB
0.449681,0.267881,0.947893,groupA
0.777956,0.288086,0.781389,groupB
0.965807,0.780354,0.31703,groupB
0.130209,0.234455,0.656109,groupA
0.900263,0.035858,0.376435,groupB
0.723755,0.777019,0.242276,groupB
0.569081,0.454069,0.46975,groupB
0.637949,0.303354,0.065386,groupB
0.335062,0.579373,0.521415,groupB
0.371934,0.857162,0.807113,groupB
0.099307,0.679827,0.416186,groupA
0.074346,0.609154,0.178658,groupA
0.153535,0.930383,0.459524,groupB
0.691229,0.349001,0.228135,groupB
