DataSet: data/drift/2CDT.arff
Chunk,     NSE,    ECDD,     DDM,    EDDM,    OAUE,     DWM,    IGMN,     HAT
    1,   68.25,   97.75,   97.75,   97.75,   50.00,   97.75,   97.25,   97.75
    2,   94.75,   96.75,   96.75,   93.75,   85.25,   94.25,   96.75,   94.25
    3,   94.00,   94.00,   95.75,   96.00,   93.75,   89.25,   95.75,   89.50
    4,   95.25,   95.75,   96.25,   96.25,   94.75,   79.75,   96.75,   79.75
    5,   93.00,   95.00,   92.75,   95.25,   93.75,   69.25,   95.00,   69.25
    6,   96.50,   97.50,   96.50,   95.50,   96.00,   60.50,   98.50,   60.50
    7,   94.00,   96.75,   96.00,   96.25,   94.25,   52.50,   96.75,   82.25
    8,   93.25,   93.50,   94.25,   93.00,   91.75,   51.25,   95.00,   93.75
    9,   95.00,   95.50,   95.75,   96.00,   94.00,   74.50,   97.00,   93.75
   10,   94.50,   94.50,   91.75,   95.00,   94.50,   93.75,   95.25,   86.75
   11,   90.25,   95.50,   94.25,   91.75,   92.50,   91.50,   95.25,   91.25
   12,   94.50,   97.00,   93.50,   96.00,   95.75,   91.50,   97.00,   91.00
   13,   95.75,   97.00,   92.00,   96.00,   94.50,   89.50,   96.75,   89.00
   14,   91.75,   95.00,   91.75,   92.00,   90.50,   74.25,   96.00,   74.25
   15,   95.25,   95.50,   95.00,   95.50,   94.50,   67.75,   96.25,   65.50
   16,   93.00,   93.50,   94.75,   94.50,   95.50,   62.75,   96.25,   95.25
   17,   93.00,   95.75,   95.50,   94.00,   92.50,   56.25,   95.75,   89.25
   18,   94.50,   93.25,   93.75,   95.25,   94.00,   54.50,   96.75,   82.75
   19,   94.00,   95.25,   90.50,   94.75,   92.50,   72.00,   96.25,   72.75
   20,   93.25,   94.75,   94.25,   93.00,   93.75,   92.50,   95.00,   62.75
   21,   92.50,   97.00,   93.75,   95.50,   94.25,   85.50,   96.00,   75.75
   22,   93.25,   94.25,   95.25,   95.00,   94.25,   97.25,   95.25,   95.50
   23,   94.00,   95.75,   91.25,   93.50,   92.50,   91.25,   95.00,   91.25
   24,   92.25,   95.25,   95.50,   93.00,   88.75,   90.50,   95.25,   83.00
   25,   94.25,   94.50,   92.75,   96.00,   89.25,   95.25,   97.00,   93.25
   26,   93.75,   94.25,   93.50,   95.00,   92.50,   94.50,   96.00,   91.75
   27,   95.00,   96.50,   92.25,   95.00,   92.50,   92.75,   96.75,   94.50
   28,   94.75,   96.50,   97.00,   95.50,   93.75,   90.00,   97.00,   94.00
   29,   94.25,   94.50,   92.75,   94.50,   94.00,   80.75,   96.00,   94.50
   30,   92.25,   94.00,   94.50,   92.00,   93.50,   92.00,   95.25,   90.25
   31,   95.75,   95.50,   95.75,   95.75,   94.25,   87.00,   96.00,   89.50
   32,   95.00,   96.25,   92.75,   96.00,   95.25,   83.50,   96.75,   92.50
   33,   91.25,   93.25,   93.75,   90.75,   92.50,   86.50,   94.25,   93.25
   34,   92.00,   95.75,   93.75,   94.75,   91.25,   70.50,   95.00,   90.00
   35,   94.50,   94.00,   92.75,   95.50,   94.25,   63.75,   96.50,   89.00
   36,   88.50,   94.75,   90.00,   93.25,   91.75,   55.50,   94.50,   74.25
   37,   93.75,   93.75,   95.00,   94.00,   93.75,   51.25,   95.75,   89.50
   38,   94.00,   96.00,   91.50,   95.75,   93.50,   51.50,   97.50,   90.25
   39,   94.50,   96.25,   97.00,   93.75,   95.50,   54.50,   96.50,   85.00
