@relation 1CDT.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attr1 numeric
@attribute attr2 numeric
@attribute class {0,1}

@data
0.314132,0.181933,1
0.169283,0.148758,0
0.297669,0.304689,1
0.164635,0.200529,0
0.181025,0.219418,0
0.237989,0.191878,0
0.19677,0.236247,0
0.184978,0.173454,0
0.237647,0.200996,0
0.255904,0.266852,1
0.264574,0.367893,1
0.17122,0.178265,0
0.264974,0.221117,1
0.245321,0.289107,1
0.225971,0.289685,1
0.184102,0.356621,1
0.108448,0.253832,0
0.154144,0.195325,0
0.239741,0.290333,1
0.127722,0.120061,0
0.320179,0.222644,1
0.069568,0.255969,0
0.308811,0.317381,1
0.158088,0.169142,0
0.261164,0.15977,0
0.277379,0.270069,1
0.120582,0.156292,0
0.131308,0.246989,0
0.210107,0.291107,0
0.297785,0.340134,1
0.251155,0.301504,1
0.159364,0.103095,0
0.226481,0.323108,1
0.105276,0.153518,0
0.110093,0.203636,0
0.153553,0.146588,0
0.127649,0.165732,0
0.113961,0.152303,0
0.218163,0.088561,0
0.315218,0.216938,1
0.156569,0.200231,0
0.187225,0.337202,1
0.203269,0.286726,1
0.333024,0.303002,1
0.038282,0.106113,0
0.205687,0.31948,1
0.328369,0.25958,1
0.242559,0.303954,1
0.196239,0.161299,0
0.149395,0.195646,0
0.401004,0.330909,1
0.271338,0.340854,1
0.170725,0.133551,0
0.088884,0.30023,0
0.312877,0.187572,1
0.312505,0.267495,1
0.114715,0.157703,0
0.352786,0.25563,1
0.170558,0.147727,0
0.242241,0.295977,1
0.26806,0.285383,1
0.107642,0.158925,0
0.155944,0.21147,0
0.171874,0.214593,0
0.320676,0.328225,1
0.265035,0.30349,1
0.158113,0.182126,0
0.215299,0.255163,1
0.210647,0.172714,0
0.305255,0.24203,1
0.208889,0.297998,1
0.149943,0.194576,0
0.34597,0.297456,1
0.298158,0.258624,1
0.22979,0.22296,1
0.160224,0.080461,0
0.146921,0.12063,0
0.181374,0.144053,0
0.193352,0.169925,0
0.110426,0.152707,0
0.131923,0.165813,0
0.129552,0.132503,0
0.119895,0.153452,0
0.223144,0.118368,0
0.245202,0.309827,1
0.347203,0.30707,1
0.172136,0.1981,0
0.18608,0.247132,1
0.269964,0.328534,1
0.161658,0.322787,0
0.168014,0.280032,0
0.142637,0.194217,0
0.309574,0.22785,1
0.286262,0.32351,1
0.144982,0.138474,0
0.159166,0.123502,0
0.236151,0.299983,1
0.229014,0.23038,1
0.133553,0.111661,0
0.089559,0.14823,0
0.27182,0.251118,1
0.275383,0.214578,1
0.170272,0.143191,0
0.313387,0.310327,1
0.309635,0.278915,1
0.186126,0.188464,0
0.192326,0.142405,0
0.209042,0.408457,1
0.271427,0.177698,1
0.218334,0.234922,1
0.288335,0.28038,1
0.207378,0.192357,0
0.208193,0.146697,0
0.333055,0.226686,1
0.112071,0.123062,0
0.122902,0.1464,0
0.158012,0.116344,0
0.182441,0.158655,0
0.186065,0.133018,0
0.288643,0.327352,1
0.193464,0.191392,0
0.278747,0.229755,1
0.135607,0.136346,0
0.318024,0.255761,1
0.228346,0.269819,1
0.168554,0.352477,1
0.081488,0.159582,0
0.155674,0.132652,0
0.357918,0.344694,1
0.261857,0.285404,1
0.089531,0.140839,0
0.268099,0.308178,1
0.036353,0.143488,0
0.268289,0.290893,1
0.238786,0.326465,1
0.298814,0.274504,1
0.232317,0.196999,1
0.208517,0.138153,0
0.1052,0.100145,0
0.267858,0.292042,1
0.110869,0.176212,0
0.297614,0.262128,1
0.226356,0.349691,1
0.219921,0.304784,1
0.290945,0.257101,1
0.226466,0.317717,1
0.301238,0.221921,1
0.309043,0.279963,1
0.261619,0.308094,1
0.222882,0.268962,1
0.296653,0.310892,1
0.355683,0.294867,1
0.189664,0.169303,0
0.204289,0.199182,0
0.254354,0.250338,1
0.213932,0.237598,0
0.241356,0.274296,1
0.240999,0.264973,1
0.150486,0.167847,0
0.197692,0.062406,0
0.240178,0.230859,1
0.077394,0.173201,0
0.254818,0.243236,1
0.140849,0.166227,0
0.181488,0.167071,0
0.271784,0.093853,0
0.208572,0.27774,1
0.194869,0.202279,0
0.10139,0.21829,0
0.207952,0.141871,0
0.169597,0.308249,1
0.184127,0.092689,0
0.221423,0.283407,1
0.309773,0.360332,1
0.313692,0.291578,1
0.232235,0.351689,1
0.238578,0.299067,1
0.192943,0.307716,1
0.206826,0.191604,1
0.191941,0.127907,0
0.201932,0.175929,0
0.153979,0.190966,0
0.275725,0.369578,1
0.226301,0.317494,1
0.272052,0.376456,1
0.163353,0.298754,0
0.284473,0.16854,0
0.241814,0.336607,1
0.317032,0.268879,1
0.22464,0.285333,1
0.310215,0.303823,1
0.303735,0.301085,1
0.183116,0.139971,0
0.257644,0.363407,1
0.188071,0.185503,0
0.290877,0.291131,1
0.089305,0.192888,0
0.24715,0.237446,0
0.294989,0.319125,1
0.136945,0.161297,0
0.240226,0.128413,0
0.160295,0.110251,0
0.155446,0.197045,0
0.20467,0.14548,0
0.17306,0.203208,0
0.277248,0.27009,1
0.123216,0.206574,0
0.087825,0.239599,0
0.31767,0.322069,1
0.262831,0.253038,1
0.294748,0.256401,1
0.235819,0.24657,1
0.273197,0.308538,1
0.154416,0.089843,0
0.340845,0.322039,1
0.062303,0.163471,0
0.16864,0.210089,0
0.335356,0.282324,1
0.29357,0.342664,1
0.171232,0.113629,0
0.189127,0.199284,0
0.326266,0.343545,1
0.272083,0.283606,1
0.324028,0.290839,1
0.169902,0.160251,0
0.20239,0.200395,0
0.305441,0.234274,1
0.194957,0.198812,0
0.162129,0.159267,0
0.118451,0.280526,0
0.231789,0.301132,1
0.145732,0.178847,0
0.257489,0.308356,1
0.224622,0.166139,0
0.152759,0.162849,0
0.125409,0.269551,0
0.299342,0.30402,1
0.150107,0.112647,0
0.355814,0.272465,1
0.109281,0.166271,0
0.149834,0.181599,0
0.38398,0.294649,1
0.205821,0.162065,0
0.125225,0.152426,0
0.161959,0.241804,0
0.175293,0.11153,0
0.144448,0.225112,0
0.109953,0.116138,0
0.265596,0.269391,1
0.285896,0.317146,1
0.178864,0.238908,1
0.318839,0.338937,1
0.264119,0.295132,1
0.141717,0.171529,0
0.245944,0.23408,1
0.368547,0.305445,1
0.252138,0.340955,1
0.292395,0.325043,1
0.213071,0.158221,1
0.287974,0.282499,1
0.111595,0.128937,0
0.320158,0.230377,1
0.213126,0.222022,1
0.25283,0.266399,1
0.199954,0.227374,1
0.22816,0.14852,0
0.287462,0.263949,1
