@relation 2CDT.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attr1 numeric
@attribute attr2 numeric
@attribute class {0, 1}

@data
0.069395,0.114265,0
0.115613,0.156296,0
0.258066,0.186377,1
0.163212,0.179083,0
0.161573,0.13927,0
0.1824,0.11357,0
0.235387,0.309588,1
0.22957,0.232131,1
0.236841,0.244201,1
0.135206,0.0813,0
0.234002,0.154683,0
0.213656,0.285718,1
0.119675,0.137531,0
0.141748,0.163321,0
0.248498,0.20715,1
0.232258,0.252487,1
0.348452,0.270622,1
0.194706,0.243392,1
0.252551,0.185596,1
0.23002,0.256657,1
0.320072,0.263624,1
0.242946,0.296438,1
0.230665,0.288481,1
0.100058,0.069028,0
0.132213,0.127716,0
0.253881,0.209417,1
0.159577,0.374696,1
0.072037,0.061495,0
0.221452,0.041947,0
0.25411,0.338578,1
0.259508,0.211502,1
0.105767,0.090734,0
0.098256,0.133087,0
0.257733,0.247109,1
0.217792,0.253216,1
0.261924,0.294749,1
0.231625,0.192826,1
0.167496,0.085304,0
0.267153,0.298986,1
0.271341,0.237031,1
0.070098,0.049468,0
0.256076,0.16123,1
0.270261,0.247599,1
0.229128,0.293036,1
0.224761,0.211757,1
0.289217,0.25026,1
0.211545,0.27113,1
0.2259,0.268264,1
0.130893,0.135135,0
0.305547,0.259654,1
0.245418,0.353205,1
0.219891,0.265504,1
0.220067,0.263319,1
0.277619,0.361779,1
0.209425,0.292043,1
0.180792,0.106289,0
0.196011,0.149445,0
0.186622,0.006089,0
0.337652,0.261945,1
0.112822,0.153317,0
0.114087,0.06546,0
0.225067,0.235024,1
0.17819,0.118113,0
0.282366,0.297645,1
0.032929,0.175611,0
0.199554,0.071174,0
0.246492,0.207468,1
0.061231,0.040158,0
0.355427,0.265256,1
0.101725,0.235826,0
0.155295,0.112661,0
0.090219,0.092671,0
0.105928,0.107767,0
0.294409,0.20863,1
0.128258,0.139109,0
0.306862,0.244857,1
0.000657,0.136934,0
0.145573,0.056075,0
0.236387,0.310483,1
0.302736,0.230403,1
0.133003,0.120096,0
0.216483,0.259763,1
0.171425,0.13223,0
0.320257,0.207695,1
0.112396,0.137416,0
0.237881,0.264947,1
0.158741,0.058714,0
0.085737,0.037907,0
0.135909,0.081918,0
0.345347,0.169428,1
0.321865,0.263537,1
0.158347,0.079372,0
0.271927,0.31193,1
0.07625,0.110205,0
0.203616,0.200513,1
0.193301,0.281084,1
0.145025,0.097897,0
0.094117,0.172745,0
0.294554,0.21896,1
0.176789,0.189827,1
0.199718,0.254318,1
0.276616,0.353862,1
0.215693,0.275676,1
0.167567,0.086857,0
0.166365,0.065602,0
0.185132,0.156772,0
0.078321,0.131342,0
0.233486,0.159992,1
0.110407,0.170742,0
0.27452,0.254182,1
0.132126,0.10332,0
0.1595,0.026563,0
0.126157,0.049504,0
0.240634,0.284441,1
0.293359,0.256769,1
0.304899,0.220161,1
0.221443,0.290696,1
0.264495,0.24667,1
0.277662,0.33258,1
0.343257,0.21952,1
0.090441,0.150526,0
0.176659,0.143594,0
0.132106,0.091814,0
0.259841,0.18407,1
0.219357,0.251615,1
0.100219,0.212111,0
0.236903,0.171722,1
0.201264,0.267135,1
0.182323,0.322813,1
0.260329,0.298459,1
0.061135,0.069721,0
0.103296,0.125207,0
0.076364,0.155264,0
0.294109,0.188277,1
0.112748,0.014803,0
0.116846,0.141357,0
0.24715,0.209841,1
0.223804,0.204281,1
0.247863,0.250347,1
0.222317,0.106046,0
0.116365,0.195689,0
0.173024,0.156184,0
0.202909,0.291765,1
0.133628,0.173871,0
0.253045,0.286135,1
0.310054,0.262096,1
0.130973,0.06967,0
0.208693,0.230043,1
0.109077,0.229655,0
0.08679,0.121632,0
0.055327,0.105954,0
0.120219,0.113835,0
0.309813,0.2613,1
0.062077,0.091887,0
0.279677,0.273905,1
0.117539,0.137964,0
0.099518,0.14141,0
0.121559,0.089269,0
0.062605,0.164758,0
0.233338,0.260129,1
0.07099,0.112601,0
0.290961,0.258628,1
0.216172,0.238066,1
0.111887,0.087208,0
0.214354,0.279159,1
0.139485,0.132122,0
0.110079,0.13989,0
0.168767,0.082205,0
0.101302,0.006916,0
0.173505,0.152411,0
0.278866,0.220246,1
0.331371,0.19459,1
0.215172,0.101032,0
0.30035,0.221511,1
