@relation 4CRE-V2.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attr1 numeric
@attribute attr2 numeric
@attribute class {1,2,3,4}

@data
0.425812,0.708401,2
0.300467,0.431699,1
0.33933,0.235991,4
0.529851,0.19878,4
0.184059,0.365153,1
0.515058,0.209842,4
0.476151,0.775476,2
0.637534,0.480744,3
0.227621,0.545189,1
0.250517,0.39816,1
0.310655,0.74391,2
0.495008,0.289016,4
0.713853,0.625818,3
0.117,0.536586,1
0.210642,0.47222,1
0.91303,0.524181,3
0.519058,0.815658,2
0.84093,0.535037,3
0.317892,0.456713,1
0.826806,0.433994,3
0.343618,0.412518,1
0.691866,0.593653,3
0.400561,0.275419,4
0.554966,0.310314,4
0.722188,0.529136,3
0.793886,0.610335,3
0.693744,0.463036,3
0.766917,0.511344,3
0.678661,0.551112,3
0.509127,0.247028,4
0.212829,0.426178,1
0.189607,0.501736,1
0.17532,0.459156,1
0.223307,0.447145,1
0.473427,0.722597,2
0.335394,0.629276,1
0.26422,0.434553,1
0.582815,0.309455,4
0.400367,0.70436,2
0.766162,0.518799,3
0.530747,0.189767,4
0.26777,0.412275,1
0.233563,0.509024,1
0.153882,0.426162,1
0.241556,0.474468,1
0.341706,0.759871,2
0.544796,0.33745,4
0.742126,0.575523,3
0.476732,0.255571,4
0.486756,0.269532,4
0.233581,0.417887,1
0.728551,0.499417,3
0.095039,0.462185,1
0.529945,0.815205,2
0.443155,0.706101,2
0.55174,0.120813,4
0.482507,0.876223,2
0.433695,0.680422,2
0.177764,0.59554,1
0.519995,0.841539,2
0.43802,0.311779,4
0.479348,0.743708,2
0.262856,0.374198,1
0.494428,0.878045,2
0.270308,0.567325,1
0.526066,0.191873,4
0.295777,0.517844,1
0.522469,0.272035,4
0.371916,0.79517,2
0.456271,0.109071,4
0.61595,0.222758,4
0.472254,0.717349,2
0.844565,0.71377,3
0.756867,0.525547,3
0.263937,0.455752,1
0.722403,0.554081,3
0.690237,0.479625,3
0.610633,0.249134,4
0.310346,0.452536,1
0.706539,0.602876,3
0.675625,0.570953,3
0.368383,0.59886,2
0.410753,0.837118,2
0.717978,0.468501,3
0.84442,0.494673,3
0.784273,0.530348,3
0.423091,0.697039,2
0.544127,0.368651,4
0.512646,0.839183,2
0.514135,0.682131,2
0.272864,0.838705,2
0.714771,0.606682,3
0.793817,0.490325,3
0.331715,0.395723,1
0.31676,0.477302,1
0.506773,0.45128,3
0.230991,0.694529,2
0.490076,0.190958,4
0.274279,0.45198,1
0.552629,0.237302,4
0.464228,0.725811,2
0.339553,0.734994,2
0.430056,0.79253,2
0.414111,0.675742,2
0.710663,0.578503,3
0.369078,0.251871,4
0.719033,0.626385,3
0.403783,0.12662,4
0.231548,0.58413,1
0.399083,0.690431,2
0.232946,0.456326,1
0.414666,0.662591,2
0.792402,0.61891,3
0.773237,0.535128,3
0.44853,0.738444,2
0.2703,0.411676,1
0.829516,0.436983,3
0.547297,0.256908,4
0.721803,0.502709,3
0.486223,0.787121,2
0.771136,0.532111,3
0.229756,0.416267,1
0.307516,0.499332,1
0.448334,0.686447,2
0.396004,0.381827,1
0.706899,0.561521,3
0.224534,0.507798,1
0.297252,0.632823,2
0.710029,0.619145,3
0.217888,0.391042,1
0.423026,0.672519,2
0.357192,0.72122,2
0.223762,0.394524,1
0.145899,0.411287,1
0.461459,0.566628,2
0.340857,0.431019,1
0.476167,0.179013,4
0.120653,0.368748,1
0.469503,0.738007,2
0.668413,0.611841,3
0.35131,0.74821,2
0.154603,0.349913,1
0.723526,0.668494,3
0.505661,0.719689,2
0.742297,0.632653,3
0.476126,0.230055,4
0.540981,0.221244,4
0.651511,0.226686,4
0.556302,0.170697,4
0.52604,0.251215,4
0.710646,0.573423,3
0.203876,0.335846,1
0.642267,0.565055,3
0.725087,0.582745,3
0.523525,0.344697,4
0.456856,0.902484,2
0.32868,0.782562,2
0.518325,0.135114,4
0.231823,0.446911,1
0.571882,0.260544,4
0.314882,0.751296,2
0.207426,0.406218,1
0.428367,0.767127,2
0.740231,0.408671,3
0.485335,0.685613,2
0.449714,0.199938,4
0.696308,0.62283,3
0.58947,0.052993,4
0.114265,0.448138,1
0.329314,0.781064,2
0.734185,0.576565,3
0.459174,0.731091,2
0.382378,0.710498,2
0.799657,0.653383,3
0.334279,0.785712,2
0.54817,0.071586,4
0.250259,0.487147,1
0.194563,0.525876,1
0.381778,0.719357,2
0.526067,0.771403,2
0.198028,0.564328,1
0.548915,0.272116,4
0.633358,0.505977,3
0.402338,0.791364,2
0.371959,0.428672,1
0.538227,0.293089,4
0.796107,0.506222,3
0.464704,0.697736,2
0.470274,0.81799,2
0.170844,0.335846,1
0.342889,0.645018,2
0.413729,0.788797,2
0.477389,0.215802,4
0.81372,0.637438,3
0.250311,0.369477,1
0.553901,0.255523,4
0.621138,0.548249,3
0.135652,0.433061,1
0.680007,0.554825,3
0.15191,0.481014,1
0.527945,0.324096,4
0.872161,0.457066,3
0.412476,0.814071,2
0.725327,0.499275,3
0.70009,0.504977,3
0.455321,0.18682,4
0.279192,0.376919,1
0.379565,0.729933,2
0.745693,0.570667,3
0.815495,0.583417,3
0.363512,0.7847,2
0.343995,0.6809,2
0.588535,0.1766,4
0.512243,0.239084,4
0.522031,0.276893,4
0.342735,0.72301,2
0.463093,0.37138,4
0.792274,0.477497,3
0.775621,0.553268,3
0.547506,0.303738,4
0.659032,0.524037,3
0.708837,0.407602,3
0.304592,0.43819,1
0.495659,0.323351,4
0.169901,0.458089,1
0.500658,0.215106,4
0.502692,0.709696,2
0.221335,0.455349,1
0.397469,0.589685,2
0.238125,0.414056,1
0.266475,0.417798,1
0.297878,0.422945,1
0.7421,0.553932,3
0.773082,0.646662,3
0.452486,0.085547,4
0.160305,0.503881,1
0.30683,0.443686,1
0.585405,0.300742,4
0.264323,0.478068,1
0.924478,0.567289,3
0.706024,0.690496,3
0.66211,0.513146,3
0.541323,0.251069,4
0.394915,0.167474,4
0.654367,0.561165,3
0.200797,0.470078,1
0.160117,0.542081,1
0.697526,0.634604,3
0.236959,0.471457,1
0.17996,0.427694,1
0.532576,0.673879,2
0.507695,0.248761,4
0.371667,0.582502,2
0.799374,0.462374,3
0.713493,0.53393,3
0.281473,0.437487,1
0.888436,0.56542,3
0.214055,0.516862,1
0.374223,0.681969,2
0.719101,0.521735,3
0.744776,0.654728,3
0.50043,0.174697,4
0.755254,0.480761,3
0.444068,0.338584,4
0.496563,0.857913,2
0.414279,0.310597,4
0.593757,0.267176,4
0.944278,0.523219,3
0.212237,0.407918,1
0.603893,0.325465,4
0.451601,0.339377,4
0.501989,0.282141,4
0.681791,0.530737,3
0.431628,0.681362,2
0.208755,0.526612,1
0.249719,0.418543,1
0.388029,0.808014,2
0.505873,0.355946,4
0.508069,0.124603,4
0.491026,0.815529,2
0.348026,0.764074,2
0.512586,0.329166,4
0.210024,0.511526,1
0.504116,0.636337,2
0.102217,0.556209,1
0.427422,0.806767,2
0.467484,0.311148,4
0.586794,0.258746,4
0.555261,0.362019,4
0.420005,0.219916,4
0.436452,0.130191,4
0.50827,0.241562,4
0.173374,0.560594,1
0.307345,0.375915,1
0.73933,0.611047,3
0.528188,0.786935,2
0.018951,0.451738,1
0.586425,0.682593,3
0.442718,0.269856,4
0.77737,0.395083,3
0.537577,0.287915,4
0.871826,0.520996,3
0.309694,0.517615,1
0.42687,0.735254,2
0.226377,0.461139,1
0.542306,0.295834,4
0.802264,0.489954,3
0.605008,0.296911,4
0.619354,0.780643,2
0.106539,0.355427,1
0.335677,0.663068,2
0.452016,0.655837,2
0.384539,0.672414,2
0.522911,0.1786,4
0.729169,0.504271,3
0.425532,0.722839,2
0.15799,0.385349,1
0.768443,0.629316,3
0.510174,0.249449,4
0.703855,0.630814,3
0.82492,0.568449,3
0.44731,0.704651,2
0.500794,0.825044,2
0.565998,0.64024,2
0.261973,0.70866,2
0.62293,0.499178,3
0.713647,0.362934,3
0.520683,0.795762,2
0.645886,0.575027,3
0.39906,0.865631,2
0.410177,0.155578,4
0.262128,0.406517,1
0.562518,0.193225,4
0.500699,0.675426,2
0.525726,0.766301,2
0.145959,0.440618,1
0.829147,0.497491,3
0.600249,0.256778,4
0.738267,0.482619,3
0.399582,0.796142,2
0.278969,0.476997,1
0.433994,0.749271,2
0.438175,0.765718,2
0.368863,0.808394,2
0.703717,0.297729,4
0.134022,0.378012,1
0.126244,0.552266,1
0.504309,0.647399,2
0.508583,0.801641,2
0.780294,0.563651,3
0.229567,0.443416,1
0.583776,0.225382,4
0.760828,0.57832,3
0.412342,0.785169,2
0.414075,0.773565,2
0.560907,0.793057,2
0.332607,0.749466,2
0.542008,0.656201,2
0.431169,0.793041,2
0.42349,0.223649,4
0.343481,0.499642,1
0.727162,0.714094,3
0.570193,0.218871,4
0.089354,0.470008,1
0.738524,0.666453,3
0.205625,0.361339,1
0.560802,0.290044,4
0.792925,0.550275,3
0.528345,0.233253,4
0.096351,0.507198,1
0.463422,0.788085,2
0.107242,0.414316,1
0.538408,0.81301,2
0.687725,0.357946,3
0.713896,0.594293,3
0.759825,0.491134,3
0.340591,0.842349,2
0.778528,0.563547,3
0.733148,0.396281,3
0.608104,0.423427,3
0.348026,0.452544,1
