@relation FG_2C_2D-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute class {1,2}

@data
0.776194,0.437206,2
0.655469,0.438678,2
0.619438,0.595442,1
0.284063,0.535259,1
0.223398,0.434182,1
0.418725,0.26354,1
0.296228,0.555851,1
0.311867,0.574111,1
0.360908,0.695565,1
0.537002,0.467476,1
0.260414,0.584555,1
0.644204,0.538196,2
0.798668,0.507194,2
0.333976,0.339026,1
0.710164,0.621625,2
0.242863,0.408019,1
0.383403,0.740774,1
0.24929,0.395989,1
0.555574,0.572364,1
0.781159,0.592929,2
0.734277,0.505467,2
0.168995,0.498935,1
0.512517,0.679792,1
0.680081,0.513297,2
0.26777,0.555522,1
0.769162,0.466407,2
0.61256,0.42648,2
0.401665,0.487604,1
0.413577,0.507799,1
0.21105,0.593809,1
0.771644,0.47462,2
0.661559,0.322372,1
0.430517,0.728247,1
0.305011,0.69873,1
0.834932,0.429128,2
0.358911,0.690142,1
0.748699,0.496011,2
0.317071,0.314912,1
0.465283,0.644159,1
0.223103,0.590798,1
0.321402,0.712306,1
0.34721,0.242895,1
0.742666,0.37281,1
0.432978,0.291081,1
0.741794,0.41101,2
0.321156,0.389033,1
0.597955,0.242868,1
0.495788,0.30344,1
0.588757,0.448141,2
0.221732,0.343213,1
0.568062,0.762112,1
0.613348,0.72148,1
0.624128,0.451494,2
0.389521,0.6883,1
0.237757,0.485635,1
0.412572,0.609024,1
0.357554,0.243567,1
0.718117,0.729511,1
0.4357,0.339328,1
0.22195,0.524365,1
0.363439,0.62674,1
0.351464,0.327285,1
0.38149,0.368583,1
0.330994,0.125378,1
0.610331,0.677077,1
0.536468,0.676183,1
0.451768,0.262714,1
0.530709,0.36195,1
0.690242,0.653891,1
0.581191,0.196804,1
0.597421,0.272479,1
0.2509,0.565482,1
0.420588,0.407831,1
0.422691,0.644912,1
0.553365,0.611571,1
0.743791,0.563822,2
0.559427,0.257572,1
0.207545,0.570912,1
0.216117,0.494445,1
0.398205,0.604347,1
0.195126,0.480285,1
0.473933,0.142651,1
0.702619,0.441696,2
0.287269,0.459982,1
0.231436,0.610321,1
0.747623,0.566544,2
0.50282,0.610254,1
0.578821,0.667043,1
0.504634,0.753443,1
0.676143,0.269797,1
0.599347,0.675672,1
0.55461,0.308098,1
0.590923,0.222612,1
0.347224,0.597754,1
0.455544,0.718912,1
0.283767,0.463685,1
0.512756,0.304381,1
0.427634,0.24026,1
0.625703,0.436353,2
0.224291,0.486939,1
0.677233,0.395236,2
0.748347,0.404141,2
0.320221,0.526536,1
0.690482,0.37492,2
0.310608,0.554668,1
0.584756,0.654879,1
0.507334,0.607425,1
0.543373,0.471495,1
0.454074,0.671284,1
0.620246,0.374907,2
0.579988,0.255045,1
0.544569,0.328972,1
0.546165,0.454888,2
0.572858,0.308346,1
0.487589,0.274905,1
0.335642,0.293151,1
0.585143,0.400888,2
0.656686,0.273352,1
0.333765,0.446696,1
0.832323,0.543069,2
0.716092,0.422293,2
0.624198,0.610127,2
0.627602,0.29297,1
0.559329,0.319267,1
0.419976,0.611592,1
0.195222,0.458894,1
0.207083,0.408113,1
0.724509,0.436407,2
0.486449,0.697064,1
0.439989,0.340807,1
0.363348,0.327379,1
0.484129,0.319059,1
0.325502,0.366782,1
0.416242,0.296169,1
0.415687,0.292741,1
0.735134,0.489936,2
0.671059,0.472039,2
0.469833,0.698233,1
0.248994,0.36033,1
0.705052,0.403362,2
0.421826,0.206046,1
0.495682,0.281793,1
0.513452,0.236033,1
0.621372,0.244575,1
0.548422,0.46589,1
0.469573,0.280167,1
0.285561,0.520494,1
0.570467,0.61768,1
0.491815,0.126391,1
0.440144,0.62012,1
0.203079,0.454082,1
0.547613,0.662991,1
0.381026,0.449801,1
0.330382,0.545757,1
0.416081,0.729383,1
0.493692,0.721701,1
0.234347,0.553943,1
0.74763,0.52622,2
0.566051,0.242303,1
0.346422,0.225744,1
0.586092,0.302177,1
0.867659,0.519769,2
0.555763,0.650275,1
0.731829,0.788054,1
0.770632,0.430472,2
0.317619,0.514614,1
0.489937,0.805567,1
0.789527,0.393375,2
0.771848,0.405586,2
0.31276,0.735969,1
0.697753,0.484687,2
0.448385,0.57854,1
0.444659,0.695915,1
0.78222,0.510232,2
0.218609,0.510508,1
0.634887,0.254716,1
0.242434,0.347615,1
0.717526,0.553418,2
0.449475,0.322809,1
0.454095,0.345027,1
0.536728,0.269616,1
0.619635,0.419874,2
0.88116,0.497087,2
0.533838,0.413409,1
0.348215,0.269777,1
0.628945,0.156436,1
0.608763,0.718731,1
0.681839,0.706264,1
0.737406,0.568997,2
0.214299,0.542114,1
0.233735,0.506327,1
0.664266,0.497786,2
0.468764,0.243137,1
0.675693,0.490904,2
0.708603,0.473699,2
0.727441,0.579729,1
0.778522,0.380364,2
0.536608,0.270268,1
0.261687,0.456636,1
0.437542,0.246658,1
0.583786,0.672097,1
0.493967,0.291888,1
0.637587,0.572182,2
0.480732,0.336223,1
0.466015,0.30965,1
0.62763,0.44763,2
0.381209,0.413832,1
0.677754,0.680135,1
0.5154,0.298151,1
0.693203,0.312486,1
0.470895,0.6467,1
0.422909,0.676217,1
0.358264,0.467798,1
0.36659,0.49751,1
0.344819,0.509795,1
0.312563,0.574622,1
0.467463,0.731466,1
0.271377,0.483397,1
0.65741,0.613312,2
0.530083,0.662077,1
0.714784,0.534204,2
0.759127,0.47417,2
0.781517,0.450567,2
0.719263,0.300362,1
0.617799,0.494607,2
0.328603,0.455782,1
0.682177,0.510057,2
0.330966,0.651324,1
0.314722,0.348918,1
0.394809,0.233519,1
0.670637,0.687682,1
0.486344,0.732595,1
0.481126,0.817893,1
0.457717,0.436198,1
0.604164,0.731218,1
0.373608,0.324865,1
0.295272,0.474432,1
0.464482,0.224279,1
0.765013,0.453,2
0.297986,0.468423,1
0.562373,0.233802,1
0.352216,0.49755,1
0.720431,0.475245,2
0.231077,0.268594,1
0.408128,0.520037,1
0.698667,0.489835,2
0.574546,0.531866,2
0.233524,0.520918,1
0.382109,0.538633,1
0.493812,0.195093,1
0.53016,0.331116,1
0.578673,0.373193,1
0.752939,0.479042,2
0.132959,0.482395,1
0.508776,0.663898,1
0.550511,0.768369,1
0.62654,0.532,2
0.738369,0.562579,2
0.385892,0.582357,1
0.706339,0.443692,2
0.654808,0.687279,1
0.595923,0.372051,1
0.745141,0.403489,2
0.451634,0.754672,1
0.427676,0.16835,1
0.244318,0.441037,1
0.236949,0.64418,1
0.781285,0.333407,2
0.420919,0.214711,1
0.738411,0.504036,2
0.513086,0.647311,1
0.492279,0.437979,1
0.70868,0.405418,2
0.497813,0.234205,1
0.339214,0.28883,1
0.781482,0.546926,2
0.220972,0.40857,1
0.18814,0.401608,1
0.580825,0.439989,2
0.663612,0.512994,2
0.537719,0.697017,1
0.305707,0.64881,1
0.354987,0.484842,1
0.464967,0.649704,1
0.611049,0.706547,1
0.53947,0.273144,1
0.388755,0.803269,1
0.325172,0.349597,1
0.477048,0.378583,1
0.375661,0.513653,1
0.275238,0.590012,1
0.163361,0.462939,1
0.449075,0.452321,1
0.612919,0.684685,1
0.750696,0.494909,2
0.697921,0.487718,2
0.331226,0.683072,1
0.334137,0.241927,1
0.455066,0.731413,1
0.629852,0.472032,2
0.295722,0.30887,1
0.165707,0.498558,1
0.737139,0.458753,2
0.500098,0.328071,1
0.815144,0.48915,2
