@relation GEARS_2C_2D-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute class {1,2}

@data
0.130499,0.312884,1
0.282285,0.499842,1
0.314171,0.382247,1
0.386185,0.16638,1
0.913714,0.458419,2
0.189228,0.314112,1
0.511588,0.497306,1
0.158182,0.692791,1
0.126061,0.307787,1
0.34491,0.522035,1
0.362106,0.233619,1
0.85546,0.518292,2
0.40441,0.503372,1
0.568662,0.651591,2
0.540245,0.287473,2
0.303839,0.38455,1
0.567785,0.277679,2
0.601183,0.570417,2
0.604964,0.312722,2
0.709564,0.591131,2
0.14206,0.703727,1
0.733144,0.346712,2
0.393098,0.538336,1
0.696339,0.388339,2
0.385285,0.799863,1
0.73424,0.678261,2
0.135235,0.311366,1
0.6516,0.458275,2
0.657309,0.436405,2
0.509611,0.522491,1
0.325566,0.287754,1
0.699855,0.527294,2
0.878716,0.497492,2
0.315718,0.39082,1
0.401578,0.490489,1
0.164439,0.382388,1
0.351219,0.187575,1
0.111136,0.713705,1
0.210817,0.412745,1
0.471613,0.523208,1
0.173507,0.640958,1
0.225081,0.376555,1
0.587819,0.598866,2
0.342865,0.754543,1
0.495389,0.49772,1
0.73466,0.185034,2
0.713564,0.468958,2
0.345881,0.707581,1
0.776625,0.101104,2
0.870136,0.550675,2
0.75511,0.47514,2
0.379702,0.112228,1
0.687146,0.447717,2
0.333277,0.338901,1
0.724886,0.647293,2
0.335898,0.490258,1
0.703049,0.384372,2
0.50554,0.694429,2
0.707403,0.727932,2
0.557363,0.678629,2
0.388556,0.536866,1
0.330482,0.52921,1
0.864975,0.487007,2
0.683146,0.396291,2
0.716951,0.336166,2
0.345526,0.655012,1
0.437399,0.507456,1
0.672534,0.465093,2
0.207266,0.438307,1
0.125748,0.272998,1
0.708177,0.429372,2
0.487402,0.278738,2
0.357887,0.223202,1
0.718338,0.579958,2
0.335156,0.504805,1
0.10462,0.717348,1
0.471977,0.261095,2
0.399104,0.542817,1
0.393366,0.159704,1
0.724693,0.531884,2
0.661277,0.466152,2
0.531622,0.664472,2
0.273991,0.458872,1
0.774077,0.840717,2
0.361271,0.786419,1
0.7105,0.709932,2
0.859653,0.475255,2
0.637342,0.352242,2
0.268556,0.470642,1
0.812301,0.474017,2
0.187909,0.378885,1
0.10633,0.240694,1
0.50543,0.740327,2
0.893586,0.535172,2
0.092618,0.244819,1
0.23908,0.548144,1
0.397807,0.517059,1
0.193012,0.614461,1
0.85017,0.507391,2
0.197212,0.613861,1
0.589642,0.594828,2
0.737143,0.294355,2
0.654019,0.583504,2
0.74324,0.128326,2
0.930843,0.489793,2
0.578865,0.674521,2
0.77956,0.79763,2
0.484719,0.753895,2
0.726273,0.735986,2
0.155956,0.337036,1
0.234274,0.364036,1
0.514223,0.738819,2
0.332216,0.443951,1
0.184396,0.647299,1
0.459817,0.53958,1
0.308643,0.415226,1
0.638536,0.452619,2
0.338114,0.512647,1
0.27956,0.450312,1
0.471729,0.478278,1
0.366012,0.831544,1
0.731015,0.376539,2
0.734853,0.319322,2
0.365564,0.744084,1
0.325634,0.517754,1
0.722918,0.377588,2
0.69992,0.530363,2
0.386353,0.951145,1
0.610334,0.585877,2
0.71379,0.497933,2
0.685437,0.445489,2
0.312842,0.658613,1
0.730499,0.627153,2
0.297619,0.614488,1
0.681985,0.601006,2
0.65418,0.489486,2
0.520471,0.707651,2
0.819591,0.486394,2
0.238464,0.483347,1
0.524991,0.279592,2
0.743917,0.509567,2
0.719273,0.310555,2
0.365777,0.850939,1
0.095646,0.764165,1
0.716306,0.520983,2
0.549067,0.352101,2
0.741917,0.313263,2
0.517933,0.199559,2
0.712403,0.490656,2
0.336598,0.299841,1
0.681727,0.571028,2
0.721499,0.162667,2
0.755917,0.211089,2
0.761142,0.10858,2
0.621134,0.559752,2
