@relation MG_2C_2D-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1}

@data
0.854038,0.649668,1
0.724173,0.217422,0
0.706173,0.64272,1
0.744499,0.227231,0
0.743301,0.196859,0
0.211667,0.333698,0
0.716392,0.655652,1
0.247938,0.211767,0
0.230812,0.453192,0
0.750321,0.201876,0
0.367675,0.29537,0
0.335586,0.270572,0
0.703255,0.618567,1
0.712473,0.612597,1
0.313639,0.239355,0
0.75443,0.645403,1
0.674725,0.630297,1
0.782917,0.770086,1
0.247523,0.413152,0
0.614324,0.415564,0
0.634636,0.249992,0
0.67846,0.659035,1
0.331647,0.284856,0
0.334726,0.323007,0
0.701732,0.644004,1
0.764769,0.651332,1
0.198837,0.294731,0
0.776602,0.387661,0
0.302806,0.271366,0
0.728035,0.641871,1
0.664237,0.194191,0
0.632874,0.564732,1
0.74748,0.76722,1
0.379812,0.280529,0
0.679715,0.706063,1
0.26737,0.3212,0
0.817494,0.620781,1
0.677699,0.324759,0
0.247861,0.296049,0
0.676522,0.313444,0
0.65578,0.609941,1
0.624332,0.347499,0
0.309868,0.32387,0
0.627856,0.78346,1
0.256727,0.278315,0
0.642269,0.300376,0
0.241003,0.319815,0
0.769258,0.657418,1
0.267348,0.323252,0
0.36086,0.288625,0
0.38459,0.251479,0
0.145725,0.345224,0
0.411161,0.332509,0
0.685684,0.697288,1
0.743484,0.319536,0
0.786512,0.319231,0
0.78494,0.275197,0
0.767017,0.707286,1
0.647442,0.658165,1
0.663293,0.646945,1
0.74772,0.203155,0
0.310869,0.220974,0
0.662807,0.738048,1
0.749545,0.771193,1
0.854249,0.724253,1
0.315845,0.435899,0
0.775404,0.258461,0
0.333733,0.383973,0
0.795575,0.763504,1
0.711607,0.258258,0
0.676825,0.606375,1
0.329885,0.355032,0
0.738466,0.33763,0
0.62441,0.649206,1
0.775834,0.225187,0
0.373624,0.316677,0
0.287435,0.183328,0
0.800058,0.293454,0
0.590756,0.717196,1
0.676564,0.74666,1
0.646907,0.405172,0
0.728416,0.297013,0
0.708266,0.659456,1
0.783784,0.635683,1
0.35618,0.404968,0
0.235104,0.374743,0
0.70157,0.350148,0
0.690054,0.71672,1
0.59268,0.742693,1
0.33073,0.29232,0
0.487828,0.655822,1
0.629978,0.667878,1
0.813822,0.546774,1
0.650966,0.333188,0
0.598509,0.318056,0
0.837919,0.615857,1
0.888361,0.626099,1
0.797274,0.844868,1
0.273438,0.394202,0
0.701345,0.353171,0
0.633452,0.742958,1
0.669164,0.376753,0
0.75481,0.209715,0
0.71241,0.855735,1
0.28969,0.217799,0
0.831104,0.669026,1
0.242483,0.233697,0
0.732271,0.156513,0
0.640401,0.831412,1
0.667768,0.26001,0
0.639859,0.789321,1
0.657161,0.349945,0
0.632071,0.710179,1
0.72874,0.213165,0
0.644243,0.759891,1
0.650825,0.680939,1
0.656287,0.163319,0
0.613584,0.519565,1
0.403909,0.287036,0
0.686297,0.682787,1
0.635778,0.36863,0
0.35957,0.244721,0
0.330237,0.247356,0
0.238382,0.301435,0
0.775735,0.742843,1
0.663815,0.641878,1
0.731404,0.375816,0
0.310489,0.201212,0
0.576625,0.611782,1
0.604866,0.877266,1
0.798077,0.587663,1
0.653687,0.263555,0
0.863552,0.30712,0
0.740256,0.660794,1
0.740031,0.692105,1
0.30891,0.264044,0
0.729015,0.538929,1
0.698667,0.70209,1
0.750271,0.282071,0
0.398129,0.372929,0
0.756882,0.560963,1
0.691464,0.506931,1
0.829814,0.679289,1
0.760449,0.79015,1
0.604718,0.671152,1
0.665964,0.582433,1
0.344255,0.373907,0
0.764487,0.315916,0
0.880186,0.728851,1
0.618926,0.733707,1
0.581333,0.387397,0
0.660587,0.313844,0
0.648055,0.289963,0
0.375858,0.280074,0
0.277166,0.312676,0
0.663864,0.237025,0
0.692246,0.292402,0
0.690343,0.869048,1
0.644376,0.759008,1
0.175167,0.239776,0
0.687982,0.702912,1
0.811588,0.15858,0
0.668657,0.768177,1
0.35618,0.302576,0
0.719599,0.618289,1
0.215391,0.388585,0
0.749271,0.285297,0
0.705862,0.77912,1
0.67901,0.61151,1
0.690272,0.802104,1
0.633783,0.709154,1
0.806189,0.680178,1
0.799994,0.712013,1
0.395754,0.36668,0
0.310813,0.248755,0
0.759434,0.769488,1
0.400364,0.35256,0
0.66249,0.639921,1
0.703255,0.314877,0
0.718753,0.631017,1
0.731397,0.748643,1
0.619342,0.298997,0
0.749884,0.727669,1
0.244252,0.271726,0
0.263472,0.315196,0
0.312575,0.255106,0
0.264811,0.256349,0
0.767503,0.576028,1
0.802292,0.738224,1
0.712079,0.711517,1
0.333098,0.258142,0
0.729008,0.859267,1
0.389742,0.362693,0
0.773917,0.596723,1
0.848547,0.757656,1
0.689208,0.763824,1
0.71408,0.748929,1
