@relation UG_2C_2D-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute class {1,2}

@data
0.677678,0.688244,2
0.59416,0.625195,2
0.67199,0.60978,2
0.665349,0.580725,2
0.689503,0.55857,2
0.673673,0.752614,2
0.211245,0.496191,1
0.287111,0.418728,1
0.783515,0.677056,2
0.341344,0.481943,1
0.666897,0.671846,2
0.3036,0.467191,1
0.324523,0.472911,1
0.276278,0.384906,1
0.584831,0.593947,2
0.695095,0.590955,2
0.658138,0.607881,2
0.378788,0.377742,1
0.727337,0.687912,2
0.205585,0.470982,1
0.748771,0.716543,2
0.293311,0.575859,1
0.60647,0.76935,2
0.266898,0.386786,1
0.224098,0.43923,1
0.348056,0.553667,1
0.633113,0.640125,2
0.672227,0.675373,2
0.213857,0.457877,1
0.290764,0.443242,1
0.385186,0.372648,1
0.322296,0.381533,1
0.686169,0.626897,2
0.143425,0.336399,1
0.283605,0.513818,1
0.643728,0.688011,2
0.32085,0.467879,1
0.668119,0.620003,2
0.718891,0.607642,2
0.431889,0.37768,1
0.694097,0.759016,2
0.319756,0.486618,1
0.373599,0.334378,1
0.736909,0.783377,2
0.782651,0.700661,2
0.278243,0.496836,1
0.675196,0.628218,2
0.741413,0.715456,2
0.275747,0.4341,1
0.748285,0.762623,2
0.342669,0.4551,1
0.61841,0.68986,2
0.667895,0.64528,2
0.376702,0.393532,1
0.315347,0.487755,1
0.299869,0.426217,1
0.765017,0.636223,2
0.738662,0.779396,2
0.686035,0.692662,2
0.191119,0.460599,1
0.28308,0.505413,1
0.35274,0.476469,1
0.644125,0.704526,2
0.248548,0.39414,1
0.575169,0.654385,2
0.679182,0.608416,2
0.359964,0.414913,1
0.15605,0.410919,1
0.437423,0.515065,1
0.534833,0.707002,2
0.728904,0.592393,2
0.37731,0.445577,1
0.312442,0.45287,1
0.325099,0.423096,1
0.705281,0.712808,2
0.231464,0.432177,1
0.68288,0.742723,2
0.281487,0.37486,1
0.287661,0.45663,1
0.721738,0.686008,2
0.69553,0.699518,2
0.235699,0.498065,1
0.335291,0.461717,1
0.652916,0.63967,2
0.285684,0.37193,1
0.782664,0.651933,2
0.270942,0.516189,1
0.291513,0.458184,1
0.574875,0.746913,2
0.722544,0.620685,2
0.183788,0.484419,1
0.631238,0.632095,2
0.319071,0.444508,1
0.597954,0.663908,2
0.357264,0.475019,1
0.826922,0.609546,2
0.383036,0.458485,1
0.659296,0.639824,2
0.798276,0.663773,2
0.348318,0.522917,1
0.157685,0.464267,1
0.359298,0.399534,1
0.251568,0.340405,1
0.674908,0.640684,2
0.702607,0.709164,2
0.66213,0.617792,2
0.677704,0.724696,2
0.302864,0.415638,1
0.22212,0.478422,1
0.333391,0.371389,1
0.607583,0.715572,2
0.301968,0.391584,1
0.683571,0.770561,2
0.653454,0.732278,2
0.353757,0.397501,1
0.668682,0.568339,2
0.249219,0.43402,1
0.732136,0.67544,2
0.62532,0.690868,2
0.698499,0.577076,2
0.339303,0.319196,1
0.398361,0.315817,1
0.3039,0.513406,1
0.780309,0.613024,2
0.600001,0.715505,2
0.705013,0.656824,2
0.772196,0.703801,2
0.338497,0.371499,1
0.252412,0.397089,1
0.655636,0.664971,2
0.33826,0.365079,1
0.671977,0.709791,2
0.729282,0.761253,2
0.794866,0.619358,2
0.70356,0.733992,2
0.818156,0.800869,2
0.32259,0.401771,1
0.74357,0.635707,2
0.735444,0.731534,2
0.715871,0.719615,2
0.62843,0.67004,2
0.782466,0.736671,2
0.598779,0.576087,2
0.263341,0.3635,1
0.652315,0.698935,2
0.310299,0.405439,1
0.835368,0.713526,2
0.782958,0.589026,2
0.656826,0.721108,2
0.753065,0.78608,2
0.272439,0.472659,1
0.668074,0.598936,2
0.733076,0.7375,2
0.68043,0.690462,2
0.241861,0.407896,1
0.255522,0.478072,1
0.301079,0.498876,1
0.561534,0.705521,2
0.642506,0.720856,2
0.697219,0.651473,2
0.23538,0.38866,1
0.366362,0.387578,1
0.313972,0.417622,1
0.701775,0.728125,2
0.242495,0.334931,1
0.595023,0.672301,2
0.631974,0.667785,2
0.29413,0.498882,1
0.718027,0.715308,2
0.336309,0.434862,1
0.38399,0.484081,1
0.726678,0.631861,2
0.254588,0.448508,1
0.668855,0.520005,2
0.632979,0.686389,2
0.367693,0.370775,1
0.644432,0.666974,2
0.400831,0.286755,1
0.3176,0.494188,1
0.762931,0.550104,2
0.34654,0.424645,1
0.414875,0.404812,1
0.253749,0.417198,1
0.385538,0.424571,1
0.705134,0.687685,2
0.612805,0.581911,2
0.647798,0.613632,2
0.641035,0.623413,2
0.255835,0.360705,1
0.325591,0.391529,1
0.290457,0.388807,1
0.628545,0.652554,2
0.30106,0.378915,1
0.650082,0.66365,2
0.708417,0.712722,2
0.212048,0.47841,1
0.601908,0.661512,2
0.623701,0.599624,2
0.66993,0.810023,2
0.442945,0.484788,1
0.794104,0.714639,2
0.294328,0.481777,1
0.753308,0.588141,2
0.735482,0.803578,2
0.706081,0.689233,2
0.33437,0.4153,1
0.227682,0.443752,1
0.255016,0.46541,1
0.685689,0.71784,2
0.323876,0.469563,1
0.265772,0.329647,1
0.631366,0.698726,2
0.298737,0.505075,1
0.600763,0.700182,2
0.686655,0.603796,2
0.230229,0.514973,1
0.633331,0.63387,2
0.530738,0.794221,2
0.236391,0.52366,1
0.296753,0.530972,1
0.706119,0.628746,2
0.34398,0.429971,1
0.331938,0.485009,1
0.73991,0.68841,2
0.558085,0.739571,2
0.408221,0.398926,1
0.737824,0.645642,2
0.785268,0.666433,2
0.695696,0.685983,2
0.737024,0.731215,2
0.639608,0.705165,2
0.689048,0.608219,2
