@relation gaussian.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attrb1 numeric
@attribute attrb2 numeric
@attribute class {1,2,3,4}

@data
0.41531,0.476905,1
0.449196,0.435089,1
0.492108,0.6015,2
0.680312,0.753634,2
0.741927,0.308341,3
0.738502,0.361026,3
0.421541,0.371727,1
0.308089,0.291024,3
0.412854,0.588251,1
0.390626,0.633124,1
0.724679,0.725156,2
0.508079,0.316356,3
0.333767,0.276764,1
0.700715,0.65315,2
0.353455,0.613553,2
0.585264,0.658277,2
0.559423,0.585147,2
0.457106,0.645853,2
0.643693,0.286436,3
0.699844,0.668284,2
0.385469,0.489502,1
0.418303,0.694674,1
0.420706,0.656159,2
0.419617,0.68816,2
0.505159,0.34414,3
0.31948,0.299949,3
0.597887,0.244747,3
0.481852,0.760794,2
0.640893,0.671484,2
0.555882,0.301647,3
0.32196,0.297867,1
0.406633,0.449923,1
0.395929,0.508829,1
0.514633,0.252719,3
0.428908,0.25885,3
0.376876,0.326596,3
0.419862,0.285318,3
0.358523,0.265286,1
0.33741,0.682262,2
0.770146,0.686946,2
0.431812,0.542313,1
0.38927,0.607721,1
0.448252,0.613912,2
0.607867,0.679547,2
0.617044,0.266715,3
0.312658,0.319993,3
0.332583,0.707337,1
0.393927,0.475572,1
0.382252,0.636181,1
0.675734,0.695081,2
0.527804,0.24961,3
0.396002,0.405989,1
0.360233,0.367934,1
0.47644,0.315829,3
0.415988,0.416391,1
0.382341,0.329336,1
0.577427,0.28076,3
0.770443,0.42635,3
0.410096,0.448894,1
0.424732,0.283182,3
0.443111,0.293722,1
0.377299,0.568805,1
0.447679,0.711195,2
0.721238,0.646559,2
0.463587,0.210524,3
0.538441,0.396759,3
0.615381,0.384216,3
0.436427,0.469112,1
0.313382,0.175007,1
0.409663,0.660245,2
0.416545,0.691875,2
0.600807,0.32022,3
0.299215,0.43994,1
0.6239,0.733129,2
0.630496,0.693095,2
0.432021,0.439168,1
0.498944,0.356049,3
0.402019,0.50314,1
0.385657,0.532569,1
0.73189,0.632054,2
0.33381,0.425171,1
0.425717,0.429107,1
0.542049,0.637335,2
0.110649,0.62746,2
0.790319,0.348249,3
0.612294,0.222487,3
0.793271,0.339564,3
0.32275,0.312109,1
0.336034,0.384509,3
0.504476,0.755626,2
0.660206,0.663804,2
0.671109,0.643496,2
0.390746,0.399349,3
0.658918,0.783458,2
0.796556,0.660113,2
0.404835,0.457555,1
0.435853,0.503116,1
0.588663,0.300678,3
0.413798,0.598204,1
0.391064,0.402161,1
0.33813,0.430028,1
0.391627,0.551662,1
0.59284,0.790169,2
0.356906,0.689644,2
0.340099,0.421804,3
0.388561,0.252808,3
0.371756,0.310482,1
0.396429,0.53891,1
0.430535,0.635649,1
0.256737,0.406348,3
0.291039,0.286574,3
0.629172,0.677603,2
0.440812,0.288984,1
0.367418,0.471199,1
0.462346,0.604377,2
0.387039,0.294673,1
0.417912,0.659533,2
0.310879,0.728996,2
0.333618,0.66357,2
0.427917,0.469793,1
0.389959,0.622322,1
0.389886,0.336956,1
0.733413,0.641893,2
0.853431,0.697138,2
0.578522,0.435806,3
0.711894,0.343368,3
0.439123,0.739159,2
0.564851,0.370267,3
0.412953,0.480823,1
0.623348,0.244029,3
0.628145,0.302341,3
0.317256,0.456921,1
0.617445,0.657756,2
0.26923,0.362509,3
0.325824,0.334982,1
0.374045,0.267296,1
0.483854,0.678207,2
0.382456,0.605406,1
0.411337,0.375166,1
0.617425,0.630421,2
0.463514,0.540321,1
0.48435,0.434736,1
0.436771,0.732387,2
0.393186,0.777087,2
0.541549,0.290366,3
0.543686,0.357909,3
0.496634,0.276334,3
0.427182,0.244235,3
0.344622,0.733027,2
0.528602,0.390628,3
0.238186,0.359153,3
0.871733,0.347669,3
0.360588,0.436249,1
0.684327,0.65641,2
0.536418,0.287435,3
0.479735,0.73557,2
0.637499,0.706434,2
0.333413,0.416522,1
0.52355,0.209179,3
0.665853,0.326124,3
0.4225,0.524267,1
0.426974,0.402693,1
0.636393,0.667398,2
0.686715,0.623763,2
0.55667,0.30931,3
0.596083,0.258969,3
0.478666,0.64943,2
0.302848,0.727291,2
0.523842,0.696457,2
0.513074,0.350552,3
0.701054,0.301139,3
0.31854,0.478383,1
0.476815,0.506107,1
0.431713,0.622035,1
0.55972,0.263342,3
0.572474,0.229348,3
0.527074,0.38997,3
0.418694,0.481427,1
0.356807,0.544999,1
0.552467,0.621837,2
0.424262,0.624684,1
0.429456,0.658247,1
0.5596,0.629571,2
0.495148,0.580009,2
0.810175,0.309256,3
0.675296,0.367922,3
0.939881,0.705279,2
0.735785,0.703796,2
0.429377,0.697587,2
0.389969,0.420566,1
0.559537,0.302945,3
0.373127,0.654987,1
0.373659,0.406988,1
0.491853,0.64437,2
0.599264,0.349828,3
0.604389,0.278792,3
0.546168,0.270855,3
0.545152,0.226074,3
0.470282,0.152289,1
0.849886,0.304016,3
0.427198,0.593623,1
0.460714,0.295911,1
0.374457,0.645548,2
0.701377,0.713875,2
0.685172,0.364088,3
0.874861,0.306115,3
0.449895,0.429681,1
0.340387,0.352041,1
0.35042,0.468812,1
0.330754,0.656602,2
0.509352,0.319251,3
0.560857,0.206557,3
0.542169,0.600226,2
0.532523,0.750703,2
0.456965,0.557793,1
0.503741,0.419387,1
0.542998,0.382003,3
0.334139,0.684027,2
0.596401,0.794057,2
0.374426,0.474854,1
0.318779,0.614402,1
0.484073,0.402693,1
0.39341,0.692389,2
0.436171,0.734331,2
0.424846,0.263641,3
0.638229,0.332063,3
0.487895,0.606381,2
0.439806,0.291939,3
0.425926,0.566084,2
0.888261,0.469345,3
0.428376,0.441519,1
0.476914,0.631312,2
0.410883,0.530853,1
0.71875,0.302604,3
0.372585,0.329587,3
0.581536,0.583191,2
0.440072,0.452333,1
0.537888,0.620773,2
0.813574,0.606788,2
0.533138,0.279007,3
0.372371,0.421911,1
0.46341,0.406013,1
0.491186,0.652911,2
0.719308,0.721005,2
0.717176,0.371075,3
0.592152,0.434371,3
0.476221,0.707349,2
0.623932,0.63648,2
0.38586,0.480327,1
0.352167,0.186611,3
0.300156,0.358155,1
0.378592,0.196821,1
0.563636,0.286245,3
0.376637,0.723014,2
0.511933,0.343542,3
0.591745,0.243707,3
0.404443,0.472802,1
0.663689,0.745918,2
0.541418,0.515026,2
0.387852,0.833475,1
0.489627,0.526887,1
0.395804,0.518991,1
0.49129,0.70812,2
0.403823,0.649065,2
0.526725,0.381082,3
0.57762,0.267296,3
0.672319,0.214444,3
0.376491,0.583681,1
0.657412,0.728721,2
0.414606,0.682436,2
0.464964,0.384509,3
0.58664,0.678901,2
0.377695,0.461048,1
0.394584,0.483479,1
0.432422,0.437756,1
0.352991,0.677178,2
0.953646,0.682298,2
0.482822,0.314741,3
0.476977,0.282034,3
0.597913,0.22133,3
0.531485,0.488049,1
0.363398,0.568303,1
0.494225,0.656207,2
0.501562,0.669438,2
0.497547,0.333242,3
0.348022,0.411755,3
0.532142,0.315094,3
0.384656,0.536314,1
0.385073,0.297191,1
0.493235,0.352957,3
0.3705,0.812001,2
0.503256,0.717033,2
0.34702,0.475679,1
0.420075,0.321691,1
0.675499,0.292609,3
0.917461,0.288949,3
0.59844,0.545872,2
0.526918,0.405313,3
0.597653,0.296467,3
0.6827,0.670449,2
0.428835,0.400312,1
0.433439,0.624487,1
0.543483,0.621437,2
0.486399,0.675569,2
0.546351,0.347717,3
0.416087,0.207511,3
0.469933,0.634482,1
0.87872,0.324897,3
0.437527,0.687191,1
0.640883,0.623632,2
0.48412,0.649191,1
0.491139,0.185048,3
0.636393,0.201179,3
0.56544,0.259926,3
0.749941,0.715579,2
0.548098,0.358149,3
0.512548,0.39213,1
0.506181,0.377056,3
0.705397,0.688926,2
0.574465,0.667129,2
0.397196,0.617076,1
0.369577,0.447722,1
0.356786,0.749124,2
0.634287,0.71665,2
0.565862,0.301857,3
0.493391,0.33829,3
0.459181,0.585093,2
0.606929,0.681933,2
0.680484,0.738447,2
0.470449,0.514463,1
0.372152,0.674486,2
0.730842,0.726573,2
0.570424,0.620994,2
0.314914,0.379867,1
0.59906,0.633699,2
0.576953,0.355876,3
0.431896,0.533209,1
0.42176,0.326961,3
0.480481,0.295869,3
0.563834,0.636438,2
0.371203,0.432122,1
0.300118,0.11268,1
0.659148,0.603606,2
0.633927,0.757432,2
0.32984,0.361379,3
0.394954,0.42559,3
0.494585,0.529321,1
0.458994,0.55747,1
0.60502,0.294446,3
0.39304,0.565647,1
0.447324,0.656357,1
0.664795,0.251157,3
0.389495,0.449546,1
0.345336,0.392004,1
0.423366,0.343087,3
0.328948,0.194688,3
0.427313,0.344804,1
0.478291,0.215146,3
0.547112,0.634171,2
0.686115,0.34353,3
0.448717,0.321542,1
0.373868,0.438965,1
0.65872,0.647522,2
0.627503,0.613098,2
0.681089,0.230421,3
0.684817,0.326752,3
0.356849,0.49083,1
0.366516,0.696546,1
0.605151,0.282752,3
0.595369,0.650471,2
0.45587,0.747533,2
0.53367,0.741814,2
0.636863,0.336561,3
0.619979,0.713001,2
0.475908,0.285312,3
0.553364,0.64291,2
0.450995,0.197226,1
0.582031,0.374945,3
0.486336,0.375567,1
0.614661,0.312193,3
0.376094,0.366517,1
0.300003,0.626216,1
0.629527,0.602194,2
0.715951,0.681963,2
0.486253,0.294948,3
0.550866,0.339833,3
0.522929,0.714963,2
0.612419,0.233291,3
0.314713,0.366433,3
0.612508,0.310978,3
0.763545,0.594944,2
0.429409,0.370333,1
0.513538,0.719132,2
0.344037,0.579135,1
0.468108,0.717027,2
0.389761,0.205495,1
0.449128,0.766841,1
0.466215,0.411127,3
0.434049,0.826118,1
0.643506,0.337901,3
0.383629,0.582252,1
0.467618,0.538718,1
0.619875,0.549922,2
0.343501,0.542923,2
0.50712,0.249805,3
0.603206,0.277027,3
0.432939,0.348052,3
0.474068,0.256164,3
0.643678,0.650728,2
0.568563,0.279558,3
0.539234,0.535082,2
0.406566,0.781807,2
0.408333,0.31248,3
0.622164,0.361109,3
0.371386,0.383217,1
0.314247,0.632927,1
0.574929,0.598803,2
0.265626,0.432457,1
0.555314,0.232361,3
0.536335,0.774258,2
0.379645,0.697719,1
0.369613,0.605251,1
0.500409,0.640727,2
0.524791,0.640087,2
0.466789,0.330221,3
0.543076,0.378157,3
0.335032,0.371493,1
0.457372,0.585571,2
0.558912,0.288548,3
0.441521,0.752043,2
0.590384,0.744996,2
0.403886,0.433892,1
0.559292,0.386495,3
0.464239,0.446154,1
0.399527,0.283906,1
0.359148,0.330897,1
0.451037,0.664138,2
0.633938,0.204307,3
0.523456,0.657798,2
0.618139,0.254082,3
0.358116,0.533969,1
0.445755,0.589136,1
0.740368,0.646804,2
0.434696,0.810865,2
0.469088,0.275353,3
0.495508,0.36282,3
0.520588,0.713462,2
0.33406,0.325974,1
0.369514,0.544652,1
0.262649,0.114486,3
0.53987,0.231245,3
0.722442,0.351007,3
0.46878,0.22164,3
0.550272,0.643825,2
0.814169,0.308795,3
0.570576,0.772326,2
0.651806,0.271925,3
0.56434,0.309692,3
0.337424,0.715681,2
0.383086,0.470254,1
0.303443,0.231466,1
0.385052,0.403925,1
0.732276,0.763378,2
0.376574,0.576306,2
0.530114,0.30413,3
0.397045,0.319765,3
0.517199,0.773193,2
0.369837,0.410176,1
0.373936,0.45481,1
0.404829,0.378898,1
0.564178,0.652492,2
0.594274,0.302311,3
0.657313,0.652427,2
0.775663,0.415685,3
0.61257,0.256379,3
0.323355,0.472108,1
0.487463,0.71165,2
0.562655,0.740086,2
0.503861,0.583017,1
0.388222,0.243116,1
0.341124,0.308849,1
0.359211,0.436913,1
0.627248,0.643143,2
0.582297,0.629081,2
0.593914,0.258569,3
0.326324,0.310775,3
0.598403,0.313868,3
0.352188,0.442374,1
0.475893,0.324628,3
0.524055,0.590901,2
0.453946,0.411946,3
0.489767,0.644507,2
0.349831,0.415924,1
0.702493,0.425464,3
0.424544,0.351342,1
0.340312,0.337859,1
0.444504,0.364656,1
0.440025,0.540734,1
0.616814,0.363735,3
0.310614,0.500622,1
0.502307,0.281938,1
0.428726,0.699633,1
0.643062,0.810267,2
0.592282,0.602373,2
0.61355,0.36023,3
0.456293,0.31882,3
0.457169,0.29621,3
0.343032,0.618464,1
0.365301,0.377983,1
0.399871,0.256337,3
0.56703,0.333947,3
0.412697,0.690421,1
0.443935,0.347376,3
0.495143,0.681539,2
0.484287,0.679302,2
0.405872,0.161386,1
0.436187,0.464775,1
0.494653,0.298148,3
0.544203,0.707947,2
0.390782,0.743441,2
0.268006,0.572131,1
0.363195,0.601213,1
0.450156,0.698945,2
0.520932,0.724175,2
0.624531,0.404338,3
0.532278,0.284139,3
0.323925,0.380854,3
0.452872,0.777207,1
0.361437,0.459876,1
0.436818,0.365069,3
0.450682,0.373222,3
0.365275,0.353878,3
0.415148,0.410098,1
0.311624,0.404637,1
0.805831,0.232306,3
0.449285,0.733315,2
0.568506,0.625295,2
0.609843,0.318671,3
0.475554,0.314902,3
0.366167,0.49485,1
0.383545,0.564732,1
0.365895,0.664366,1
0.580561,0.684643,2
0.509628,0.801294,2
0.531835,0.360356,3
0.548285,0.371816,3
0.418527,0.647737,2
