learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.054380893,-1.406837591073579E-13,1000.0,0.0,92.00999999999999,1.8033610595527205,79.60759036359414,5.292788859149627,78.97368421052633,4.745686998822954,67.38775510204084,7.360657385929478
2000.0,0.104013106,-2.6908264909353517E-13,2000.0,0.0,93.85,2.935321296061319,84.16924194203006,7.838350271267195,82.47863247863246,8.362738735217436,75.78740157480314,11.55638305535952
3000.0,0.151741891,-3.9255735723094824E-13,3000.0,0.0,94.22999999999999,2.313751163034699,84.47985038992132,6.746371825018399,84.48924731182794,6.219761190953501,75.95833333333333,9.640629845977918
4000.0,0.201600583,-5.215421500098377E-13,4000.0,0.0,93.85999999999999,2.6141495324058557,84.49837672300939,6.958095696241374,84.01041666666666,6.8076810739735985,76.38461538461539,10.054421278484071
5000.0,0.248947118,-6.440279746635095E-13,5000.0,0.0,93.85,2.504773221049944,84.16952941560257,6.779901822575882,84.2710997442455,6.406069619053553,76.1627906976744,9.708423337402863
6000.0,0.296356444,-7.666762400832441E-13,6000.0,0.0,94.99999999999999,2.319482700948645,86.51812674322305,6.474916579551683,86.52291105121293,6.25197493517153,79.3388429752066,9.584639260118347
7000.0,0.343843105,-8.89524571701056E-13,7000.0,0.0,95.23999999999998,2.3669952823499005,87.38109546057588,6.447802540180074,87.70025839793281,6.116266879457091,80.41152263374485,9.740721326542777
8000.0,0.391603064,-1.0130799271994168E-12,8000.0,0.0,94.75,2.5312491426610286,86.58778907828618,6.692476570230821,86.67512690355328,6.424490209799579,79.57198443579766,9.84921845393398
9000.0,0.438763243,-1.135083647548325E-12,9000.0,0.0,94.5,2.873248258601327,85.42479791104957,7.8876475952566745,85.6396866840731,7.501953677810242,77.55102040816325,11.727543912658463
10000.0,0.481244366,-1.2449826165619826E-12,10000.0,0.0,93.52,1.9893047361662148,83.55951744112855,5.281408322289957,82.4390243902439,5.391069745707893,74.58823529411764,7.801195043789063
11000.0,0.520169115,-1.3456812206034867E-12,11000.0,0.0,95.22999999999999,2.546042680972433,87.11608964040467,7.139929582647533,86.96721311475409,6.956400767684267,79.95798319327729,10.69765832341361
12000.0,0.55924138,-1.4467614495919815E-12,12000.0,0.0,95.01,2.4825837794971246,87.05791279069791,6.750266970355295,87.76960784313725,6.084764165434119,80.95419847328243,9.475510608767642
13000.0,0.598384744,-1.5480256122019556E-12,13000.0,0.0,95.42,1.8552028939654415,87.77142996824327,5.240700071290735,87.81914893617021,4.9340502499081005,81.07438016528924,7.666127661014247
14000.0,0.637053047,-1.6480607886074317E-12,14000.0,0.0,95.14,2.7358524976483753,87.40436645196387,7.223264366398969,87.66497461928932,6.943788065097418,81.16279069767442,10.604079448249532
15000.0,0.675702353,-1.7480468196380476E-12,15000.0,0.0,95.16,2.4033310217279666,87.26304937450637,6.5694538437359915,87.39583333333333,6.2586745357499165,80.48387096774194,9.690850894064383
16000.0,0.714596675,-1.8486667088129464E-12,16000.0,0.0,95.1,2.612363765719553,87.23645609262681,7.078518293761064,86.8279569892473,7.022483241181585,80.55555555555556,10.366522879839485
17000.0,0.752855227,-1.9476418564510013E-12,17000.0,0.0,95.93999999999998,2.024406634602397,88.90943091710172,5.752694562061968,89.02702702702702,5.471369282709186,82.94117647058823,8.50591022942185
18000.0,0.791628121,-2.0479476105214815E-12,18000.0,0.0,94.69999999999999,2.5828494170413996,86.52438737503442,6.7999185064875,86.340206185567,6.656828394436598,79.7709923664122,9.858203881837408
19000.0,0.830361034,-2.14814993345903E-12,19000.0,0.0,95.88,2.6778100505201388,88.80216468483617,7.428960408928765,88.68131868131869,7.356621017912456,82.6890756302521,11.251302733277877
20000.0,0.868443266,-2.2466689399960982E-12,20000.0,0.0,95.6,2.5298221281347035,88.6705555192076,6.567455010451951,88.29787234042553,6.728250340783781,83.206106870229,9.655809649369086
