learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.583101693,-1.5084882499650122E-12,1000.0,0.0,64.46999999999998,1.7537578700227239,28.878612192768983,3.564765386097217,-153.78571428571428,12.526841928733788,27.48979591836735,3.579097693923947
2000.0,1.428664961,-3.6959664715040056E-12,2000.0,0.0,67.02000000000001,0.7969385867876626,22.187562923620096,2.261690212843373,-135.57142857142853,5.692418477054708,-10.671140939597285,2.6742905596901334
3000.0,2.245654015,-5.809522997070518E-12,3000.0,0.0,63.38000000000001,0.9425733098515224,17.662376716312338,3.0438111196708446,-96.88172043010746,5.067598440061931,10.900243309002441,2.293365717400287
4000.0,3.083266995,-7.976433766695362E-12,4000.0,0.0,70.41,1.2723119813071724,32.59279301423414,3.5997191593005224,-75.08875739644968,7.528473262172613,24.32225063938618,3.2539948371027405
5000.0,3.91679084,-1.0132765914830903E-11,5000.0,0.0,70.44000000000001,1.2447221912271587,20.29841631780993,4.12578600443003,-84.74999999999999,7.779513695169739,16.497175141242924,3.516164381997621
6000.0,4.758729885,-1.2310868245549501E-11,6000.0,0.0,71.57,0.49676732760697917,36.27890411037485,1.5071630830501987,-87.03947368421052,3.26820610267748,31.985645933014354,1.1884385827918147
7000.0,5.761990981,-1.490631187593358E-11,7000.0,0.0,66.69000000000001,0.8305955025696234,24.525776107979773,2.0420956264970163,-74.39790575916234,4.34866755272056,20.8788598574822,1.9729109324694203
8000.0,6.832086211,-1.767465588895398E-11,8000.0,0.0,56.019999999999996,1.7699968612652575,15.30995084120152,3.292009552192723,-157.19298245614027,10.350858837808532,17.175141242937862,3.3333274223451244
9000.0,7.671333908,-1.9845795683148842E-11,9000.0,0.0,68.22,2.6802984908401433,37.975493805198155,5.045375903001506,-84.76744186046508,15.583130760698534,32.95358649789029,5.6546381663294305
10000.0,8.501069595,-2.1992327839446585E-11,10000.0,0.0,71.66999999999999,0.5292552419306872,43.1208394660424,1.0729706456081738,-98.11188811188812,3.701085607906914,41.70781893004114,1.0890025554129377
11000.0,9.341839714,-2.4167406150243378E-11,11000.0,0.0,77.1,1.4506703431325942,53.53692174196767,3.0145329648309294,-27.932960893854702,8.104303592919539,54.10821643286574,2.907154996257713
12000.0,10.36229749,-2.68073377147731E-11,12000.0,0.0,68.87,0.3368151487751773,36.1334602852123,0.6907309024873655,-125.57971014492753,2.440689483878064,30.66815144766146,0.7501450974948174
13000.0,11.883579327,-3.0742904706858124E-11,13000.0,0.0,62.88,3.065144549790617,25.823198256985133,6.139521379915373,-159.58041958041954,21.43457727126305,24.8582995951417,6.204746052207728
14000.0,13.367450384,-3.4581689743532106E-11,14000.0,0.0,73.18000000000002,1.9211107897949744,46.331845457685816,3.829498182163496,-173.67346938775518,19.603171324438527,42.446351931330454,4.1225553429076705
15000.0,14.942383287,-3.8656052427055955E-11,15000.0,0.0,76.69,1.4184890239656804,52.27545595680319,3.1112399278560314,-60.75862068965514,9.782682923901259,48.199999999999996,3.15219783103485
16000.0,16.522114001,-4.2742827081949393E-11,16000.0,0.0,65.44,1.5714112553158535,25.301660295774877,4.000242372758096,-110.73170731707312,9.581775947047873,17.909738717339685,3.732568302412947
17000.0,18.132475376,-4.690884347591141E-11,17000.0,0.0,74.26,1.4945828106123094,42.964502689757,4.190255144971692,-60.87499999999997,9.341142566326917,28.499999999999996,4.15161891836752
18000.0,19.744675749,-5.107961737085143E-11,18000.0,0.0,74.07000000000001,2.3123100522589457,46.70870211688255,4.283035407385306,-86.54676258992805,16.63532411697086,37.367149758454104,5.585289981301812
19000.0,21.332055602,-5.5186180403042284E-11,19000.0,0.0,82.88,2.805074766284212,62.890154145870305,5.264457981099272,-27.76119402985076,20.933393778240408,51.77464788732394,7.901619059955533
20000.0,22.962342951,-5.940374543424707E-11,20000.0,0.0,72.85000000000001,2.9755485021906267,45.86423902725716,5.896039878112543,-118.9516129032258,23.99635888863408,47.17898832684824,5.7890048680751525
21000.0,24.720965805,-6.395331533470513E-11,21000.0,0.0,73.75999999999999,2.47754358634156,46.31835208889186,4.820691630961586,-43.38797814207646,13.538489542850073,40.9009009009009,5.580053122390912
22000.0,26.358183917,-6.818881029935771E-11,22000.0,0.0,78.92,1.5468965346424746,48.80087136428203,3.565426868251213,-12.727272727272677,8.272173982045311,23.065693430656953,5.64560779066596
